,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
79,13-B_S67_L003_R1_001,13-B,R1,Paired,28147663,14534789,14130298
80,13-B_S67_L003_R1_001,13-B,R1,Unpaired1,NA,13307439,13163279
81,13-B_S67_L003_R1_001,13-B,R1,Unpaired2,NA,NA,139231
82,13-B_S67_L003_R2_001,13-B,R2,Paired,28147663,14534789,14130298
83,13-B_S67_L003_R2_001,13-B,R2,Unpaired1,NA,149418,51006
84,13-B_S67_L003_R2_001,13-B,R2,Unpaired2,NA,NA,215029
85,13-C_S61_L003_R1_001,13-C,R1,Paired,28217033,15576352,15132269
86,13-C_S61_L003_R1_001,13-C,R1,Unpaired1,NA,12423172,12270556
87,13-C_S61_L003_R1_001,13-C,R1,Unpaired2,NA,NA,155275
88,13-C_S61_L003_R2_001,13-C,R2,Paired,28217033,15576352,15132269
89,13-C_S61_L003_R2_001,13-C,R2,Unpaired1,NA,103408,51463
90,13-C_S61_L003_R2_001,13-C,R2,Unpaired2,NA,NA,240807
91,13-D_S8_L003_R1_001,13-D,R1,Paired,26030615,15836557,15292351
92,13-D_S8_L003_R1_001,13-D,R1,Unpaired1,NA,9980177,9822286
93,13-D_S8_L003_R1_001,13-D,R1,Unpaired2,NA,NA,195816
94,13-D_S8_L003_R2_001,13-D,R2,Paired,26030615,15836557,15292351
95,13-D_S8_L003_R2_001,13-D,R2,Unpaired1,NA,92176,59237
96,13-D_S8_L003_R2_001,13-D,R2,Unpaired2,NA,NA,293410
97,13-E_S77_L003_R1_001,13-E,R1,Paired,25640739,14679057,14254621
98,13-E_S77_L003_R1_001,13-E,R1,Unpaired1,NA,10770072,10631884
99,13-E_S77_L003_R1_001,13-E,R1,Unpaired2,NA,NA,148995
100,13-E_S77_L003_R2_001,13-E,R2,Paired,25640739,14679057,14254621
101,13-E_S77_L003_R2_001,13-E,R2,Unpaired1,NA,96664,49536
102,13-E_S77_L003_R2_001,13-E,R2,Unpaired2,NA,NA,231537
103,13-F_S104_L003_R1_001,13-F,R1,Paired,27785126,15836354,13207231
104,13-F_S104_L003_R1_001,13-F,R1,Unpaired1,NA,11374699,10905905
105,13-F_S104_L003_R1_001,13-F,R1,Unpaired2,NA,NA,257551
106,13-F_S104_L003_R2_001,13-F,R2,Paired,27785126,15836354,13207231
107,13-F_S104_L003_R2_001,13-F,R2,Unpaired1,NA,368346,205669
108,13-F_S104_L003_R2_001,13-F,R2,Unpaired2,NA,NA,1326924
109,13-G_S50_L003_R1_001,13-G,R1,Paired,25474383,14712723,14317371
110,13-G_S50_L003_R1_001,13-G,R1,Unpaired1,NA,10575560,10447448
111,13-G_S50_L003_R1_001,13-G,R1,Unpaired2,NA,NA,143225
112,13-G_S50_L003_R2_001,13-G,R2,Paired,25474383,14712723,14317371
113,13-G_S50_L003_R2_001,13-G,R2,Unpaired1,NA,71902,46007
114,13-G_S50_L003_R2_001,13-G,R2,Unpaired2,NA,NA,212280
115,13-H_S19_L003_R1_001,13-H,R1,Paired,26071008,15326035,14822670
116,13-H_S19_L003_R1_001,13-H,R1,Unpaired1,NA,10499134,10353275
117,13-H_S19_L003_R1_001,13-H,R1,Unpaired2,NA,NA,174604
118,13-H_S19_L003_R2_001,13-H,R2,Paired,26071008,15326035,14822670
119,13-H_S19_L003_R2_001,13-H,R2,Unpaired1,NA,130337,58905
120,13-H_S19_L003_R2_001,13-H,R2,Unpaired2,NA,NA,267837
121,13-M_S109_L003_R1_001,13-M,R1,Paired,22108394,12841431,11376324
122,13-M_S109_L003_R1_001,13-M,R1,Unpaired1,NA,8886183,8628662
123,13-M_S109_L003_R1_001,13-M,R1,Unpaired2,NA,NA,182124
124,13-M_S109_L003_R2_001,13-M,R2,Paired,22108394,12841431,11376324
125,13-M_S109_L003_R2_001,13-M,R2,Unpaired1,NA,243478,127664
126,13-M_S109_L003_R2_001,13-M,R2,Unpaired2,NA,NA,778583
127,13-N_S81_L003_R1_001,44-N,R1,Paired,24548828,12862017,12505761
128,13-N_S81_L003_R1_001,44-N,R1,Unpaired1,NA,11478704,11349352
129,13-N_S81_L003_R1_001,44-N,R1,Unpaired2,NA,NA,133231
130,13-N_S81_L003_R2_001,44-N,R2,Paired,24548828,12862017,12505761
131,13-N_S81_L003_R2_001,44-N,R2,Unpaired1,NA,70984,41910
132,13-N_S81_L003_R2_001,44-N,R2,Unpaired2,NA,NA,180807
133,13-O_S33_L003_R1_001,13-O,R1,Paired,29418994,16696668,16208657
134,13-O_S33_L003_R1_001,13-O,R1,Unpaired1,NA,12460400,12306038
135,13-O_S33_L003_R1_001,13-O,R1,Unpaired2,NA,NA,164082
136,13-O_S33_L003_R2_001,13-O,R2,Paired,29418994,16696668,16208657
137,13-O_S33_L003_R2_001,13-O,R2,Unpaired1,NA,107568,58208
138,13-O_S33_L003_R2_001,13-O,R2,Unpaired2,NA,NA,263946
139,13-P_S99_L003_R1_001,13-P,R1,Paired,27951221,16842086,15083926
140,13-P_S99_L003_R1_001,13-P,R1,Unpaired1,NA,10647000,10328202
141,13-P_S99_L003_R1_001,13-P,R1,Unpaired2,NA,NA,215534
142,13-P_S99_L003_R2_001,13-P,R2,Paired,27951221,16842086,15083926
143,13-P_S99_L003_R2_001,13-P,R2,Unpaired1,NA,288320,143797
144,13-P_S99_L003_R2_001,13-P,R2,Unpaired2,NA,NA,896585
145,3-A_S90_L003_R1_001,3-A,R1,Paired,27458445,15606139,15126644
146,3-A_S90_L003_R1_001,3-A,R1,Unpaired1,NA,11596828,11432346
147,3-A_S90_L003_R1_001,3-A,R1,Unpaired2,NA,NA,182692
148,3-A_S90_L003_R2_001,3-A,R2,Paired,27458445,15606139,15126644
149,3-A_S90_L003_R2_001,3-A,R2,Unpaired1,NA,112784,52129
150,3-A_S90_L003_R2_001,3-A,R2,Unpaired2,NA,NA,251664
151,3-B_S25_L003_R1_001,3-B,R1,Paired,24522795,12938827,12470220
152,3-B_S25_L003_R1_001,3-B,R1,Unpaired1,NA,11333682,11192799
153,3-B_S25_L003_R1_001,3-B,R1,Unpaired2,NA,NA,161190
154,3-B_S25_L003_R2_001,3-B,R2,Paired,24522795,12938827,12470220
155,3-B_S25_L003_R2_001,3-B,R2,Unpaired1,NA,113798,53536
156,3-B_S25_L003_R2_001,3-B,R2,Unpaired2,NA,NA,229233
157,3-C_S9_L003_R1_001,3-C,R1,Paired,24378489,12515723,12140329
158,3-C_S9_L003_R1_001,3-C,R1,Unpaired1,NA,11637031,11484350
159,3-C_S9_L003_R1_001,3-C,R1,Unpaired2,NA,NA,138203
160,3-C_S9_L003_R2_001,3-C,R2,Paired,24378489,12515723,12140329
161,3-C_S9_L003_R2_001,3-C,R2,Unpaired1,NA,80049,47255
162,3-C_S9_L003_R2_001,3-C,R2,Unpaired2,NA,NA,197651
163,3-D_S75_L003_R1_001,3-D,R1,Paired,26999102,14358147,13944954
164,3-D_S75_L003_R1_001,3-D,R1,Unpaired1,NA,12449898,12291483
165,3-D_S75_L003_R1_001,3-D,R1,Unpaired2,NA,NA,149915
166,3-D_S75_L003_R2_001,3-D,R2,Paired,26999102,14358147,13944954
167,3-D_S75_L003_R2_001,3-D,R2,Unpaired1,NA,90377,51162
168,3-D_S75_L003_R2_001,3-D,R2,Unpaired2,NA,NA,223964
169,3-E_S39_L003_R1_001,3-E,R1,Paired,27730603,15600043,15145217
170,3-E_S39_L003_R1_001,3-E,R1,Unpaired1,NA,11895540,11744520
171,3-E_S39_L003_R1_001,3-E,R1,Unpaired2,NA,NA,161896
172,3-E_S39_L003_R2_001,3-E,R2,Paired,27730603,15600043,15145217
173,3-E_S39_L003_R2_001,3-E,R2,Unpaired1,NA,115565,51683
174,3-E_S39_L003_R2_001,3-E,R2,Unpaired2,NA,NA,245410
175,3-F_S4_L003_R1_001,3-F,R1,Paired,30433635,17721096,17220758
176,3-F_S4_L003_R1_001,3-F,R1,Unpaired1,NA,12390080,12229981
177,3-F_S4_L003_R1_001,3-F,R1,Unpaired2,NA,NA,209309
178,3-F_S4_L003_R2_001,3-F,R2,Paired,30433635,17721096,17220758
179,3-F_S4_L003_R2_001,3-F,R2,Unpaired1,NA,138640,51314
180,3-F_S4_L003_R2_001,3-F,R2,Unpaired2,NA,NA,251515
181,3-G_S16_L003_R1_001,3-G,R1,Paired,27318509,14418124,13836564
182,3-G_S16_L003_R1_001,3-G,R1,Unpaired1,NA,12675198,12474479
183,3-G_S16_L003_R1_001,3-G,R1,Unpaired2,NA,NA,187635
184,3-G_S16_L003_R2_001,3-G,R2,Paired,27318509,14418124,13836564
185,3-G_S16_L003_R2_001,3-G,R2,Unpaired1,NA,110868,71424
186,3-G_S16_L003_R2_001,3-G,R2,Unpaired2,NA,NA,313454
187,3-H_S110_L003_R1_001,3-H,R1,Paired,26606422,18002053,16116574
188,3-H_S110_L003_R1_001,3-H,R1,Unpaired1,NA,8042886,7705896
189,3-H_S110_L003_R1_001,3-H,R1,Unpaired2,NA,NA,232552
190,3-H_S110_L003_R2_001,3-H,R2,Paired,26606422,18002053,16116574
191,3-H_S110_L003_R2_001,3-H,R2,Unpaired1,NA,447233,158142
192,3-H_S110_L003_R2_001,3-H,R2,Unpaired2,NA,NA,957604
193,3-M_S65_L003_R1_001,3-M,R1,Paired,30649742,14468225,13889442
194,3-M_S65_L003_R1_001,3-M,R1,Unpaired1,NA,15811313,15591327
195,3-M_S65_L003_R1_001,3-M,R1,Unpaired2,NA,NA,210505
196,3-M_S65_L003_R2_001,3-M,R2,Paired,30649742,14468225,13889442
197,3-M_S65_L003_R2_001,3-M,R2,Unpaired1,NA,135136,63644
198,3-M_S65_L003_R2_001,3-M,R2,Unpaired2,NA,NA,272551
199,3-N_S46_L003_R1_001,3-N,R1,Paired,27959790,15314662,14892256
200,3-N_S46_L003_R1_001,3-N,R1,Unpaired1,NA,12420307,12265889
201,3-N_S46_L003_R1_001,3-N,R1,Unpaired2,NA,NA,158644
202,3-N_S46_L003_R2_001,3-N,R2,Paired,27959790,15314662,14892256
203,3-N_S46_L003_R2_001,3-N,R2,Unpaired1,NA,84873,50680
204,3-N_S46_L003_R2_001,3-N,R2,Unpaired2,NA,NA,223078
205,3-O_S115_L003_R1_001,3-O,R1,Paired,25943632,14867285,13005681
206,3-O_S115_L003_R1_001,3-O,R1,Unpaired1,NA,10590665,10240933
207,3-O_S115_L003_R1_001,3-O,R1,Unpaired2,NA,NA,234489
208,3-O_S115_L003_R2_001,3-O,R2,Paired,25943632,14867285,13005681
209,3-O_S115_L003_R2_001,3-O,R2,Unpaired1,NA,312786,155267
210,3-O_S115_L003_R2_001,3-O,R2,Unpaired2,NA,NA,950639
211,3-P_S72_L003_R1_001,3-P,R1,Paired,26116162,13846601,13444968
212,3-P_S72_L003_R1_001,3-P,R1,Unpaired1,NA,12077436,11917226
213,3-P_S72_L003_R1_001,3-P,R1,Unpaired2,NA,NA,153236
214,3-P_S72_L003_R2_001,3-P,R2,Paired,26116162,13846601,13444968
215,3-P_S72_L003_R2_001,3-P,R2,Unpaired1,NA,93891,46742
216,3-P_S72_L003_R2_001,3-P,R2,Unpaired2,NA,NA,214668
217,31-A_S71_L003_R1_001,31-A,R1,Paired,27765592,14779624,14344774
218,31-A_S71_L003_R1_001,31-A,R1,Unpaired1,NA,12758941,12615176
219,31-A_S71_L003_R1_001,31-A,R1,Unpaired2,NA,NA,149653
