,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
344,36-N_S40_L003_R1_001,36-N,R1,Unpaired1,NA,11909764,11761160
345,36-N_S40_L003_R1_001,36-N,R1,Unpaired2,NA,NA,160347
346,36-N_S40_L003_R2_001,36-N,R2,Paired,28469726,16340521,15873131
347,36-N_S40_L003_R2_001,36-N,R2,Unpaired1,NA,97148,58445
348,36-N_S40_L003_R2_001,36-N,R2,Unpaired2,NA,NA,254159
349,36-O_S22_L003_R1_001,36-O,R1,Paired,27548271,12483081,12009366
350,36-O_S22_L003_R1_001,36-O,R1,Unpaired1,NA,14710661,14505173
351,36-O_S22_L003_R1_001,36-O,R1,Unpaired2,NA,NA,161593
352,36-O_S22_L003_R2_001,36-O,R2,Paired,27548271,12483081,12009366
353,36-O_S22_L003_R2_001,36-O,R2,Unpaired1,NA,169608,55676
354,36-O_S22_L003_R2_001,36-O,R2,Unpaired2,NA,NA,244313
355,36-P_S85_L003_R1_001,36-P,R1,Paired,28101062,16212330,15754191
356,36-P_S85_L003_R1_001,36-P,R1,Unpaired1,NA,11679989,11534490
357,36-P_S85_L003_R1_001,36-P,R1,Unpaired2,NA,NA,163080
358,36-P_S85_L003_R2_001,36-P,R2,Paired,28101062,16212330,15754191
359,36-P_S85_L003_R2_001,36-P,R2,Unpaired1,NA,101241,55080
360,36-P_S85_L003_R2_001,36-P,R2,Unpaired2,NA,NA,247013
361,41-A_S91_L003_R1_001,41-A,R1,Paired,26214021,13108675,12650875
362,41-A_S91_L003_R1_001,41-A,R1,Unpaired1,NA,12860929,12701883
363,41-A_S91_L003_R1_001,41-A,R1,Unpaired2,NA,NA,148836
364,41-A_S91_L003_R2_001,41-A,R2,Paired,26214021,13108675,12650875
365,41-A_S91_L003_R2_001,41-A,R2,Unpaired1,NA,119481,62212
366,41-A_S91_L003_R2_001,41-A,R2,Unpaired2,NA,NA,237409
367,41-B_S101_L003_R1_001,41-B,R1,Paired,28846902,17110819,14520199
368,41-B_S101_L003_R1_001,41-B,R1,Unpaired1,NA,11083652,10636496
369,41-B_S101_L003_R1_001,41-B,R1,Unpaired2,NA,NA,258729
370,41-B_S101_L003_R2_001,41-B,R2,Paired,28846902,17110819,14520199
371,41-B_S101_L003_R2_001,41-B,R2,Unpaired1,NA,444026,200796
372,41-B_S101_L003_R2_001,41-B,R2,Unpaired2,NA,NA,1271644
373,41-C_S27_L003_R1_001,41-C,R1,Paired,27670431,15935542,15424203
374,41-C_S27_L003_R1_001,41-C,R1,Unpaired1,NA,11499383,11353756
375,41-C_S27_L003_R1_001,41-C,R1,Unpaired2,NA,NA,173362
376,41-C_S27_L003_R2_001,41-C,R2,Paired,27670431,15935542,15424203
377,41-C_S27_L003_R2_001,41-C,R2,Unpaired1,NA,136768,62885
378,41-C_S27_L003_R2_001,41-C,R2,Unpaired2,NA,NA,279756
379,41-D_S12_L003_R1_001,41-D,R1,Paired,23769494,11213355,10701872
380,41-D_S12_L003_R1_001,41-D,R1,Unpaired1,NA,12233331,12061404
381,41-D_S12_L003_R1_001,41-D,R1,Unpaired2,NA,NA,161131
382,41-D_S12_L003_R2_001,41-D,R2,Paired,23769494,11213355,10701872
383,41-D_S12_L003_R2_001,41-D,R2,Unpaired1,NA,162838,60043
384,41-D_S12_L003_R2_001,41-D,R2,Unpaired2,NA,NA,251942
385,41-E_S6_L003_R1_001,41-E,R1,Paired,30071189,18406460,17865868
386,41-E_S6_L003_R1_001,41-E,R1,Unpaired1,NA,11437444,11273243
387,41-E_S6_L003_R1_001,41-E,R1,Unpaired2,NA,NA,206154
388,41-E_S6_L003_R2_001,41-E,R2,Paired,30071189,18406460,17865868
389,41-E_S6_L003_R2_001,41-E,R2,Unpaired1,NA,95876,57272
390,41-E_S6_L003_R2_001,41-E,R2,Unpaired2,NA,NA,292795
391,41-F_S60_L003_R1_001,41-F,R1,Paired,23797385,12685829,12333970
392,41-F_S60_L003_R1_001,41-F,R1,Unpaired1,NA,10931467,10817036
393,41-F_S60_L003_R1_001,41-F,R1,Unpaired2,NA,NA,134681
394,41-F_S60_L003_R2_001,41-F,R2,Paired,23797385,12685829,12333970
395,41-F_S60_L003_R2_001,41-F,R2,Unpaired1,NA,93978,39253
396,41-F_S60_L003_R2_001,41-F,R2,Unpaired2,NA,NA,177431
397,41-G_S18_L003_R1_001,41-G,R1,Paired,26948162,13705274,13009534
398,41-G_S18_L003_R1_001,41-G,R1,Unpaired1,NA,12916431,12695673
399,41-G_S18_L003_R1_001,41-G,R1,Unpaired2,NA,NA,200796
400,41-G_S18_L003_R2_001,41-G,R2,Paired,26948162,13705274,13009534
401,41-G_S18_L003_R2_001,41-G,R2,Unpaired1,NA,181023,79115
402,41-G_S18_L003_R2_001,41-G,R2,Unpaired2,NA,NA,356571
403,41-H_S41_L003_R1_001,41-H,R1,Paired,28172233,15983405,15405896
404,41-H_S41_L003_R1_001,41-H,R1,Unpaired1,NA,11906513,11743439
405,41-H_S41_L003_R1_001,41-H,R1,Unpaired2,NA,NA,196975
406,41-H_S41_L003_R2_001,41-H,R2,Paired,28172233,15983405,15405896
407,41-H_S41_L003_R2_001,41-H,R2,Unpaired1,NA,124079,67066
408,41-H_S41_L003_R2_001,41-H,R2,Unpaired2,NA,NA,289589
409,41-M_S34_L003_R1_001,41-M,R1,Paired,29076288,14949247,14557305
410,41-M_S34_L003_R1_001,41-M,R1,Unpaired1,NA,13745598,13639404
411,41-M_S34_L003_R1_001,41-M,R1,Unpaired2,NA,NA,171778
412,41-M_S34_L003_R2_001,41-M,R2,Paired,29076288,14949247,14557305
413,41-M_S34_L003_R2_001,41-M,R2,Unpaired1,NA,233909,46763
414,41-M_S34_L003_R2_001,41-M,R2,Unpaired2,NA,NA,175576
415,41-N_S78_L003_R1_001,41-N,R1,Paired,26070936,14730712,14363467
416,41-N_S78_L003_R1_001,41-N,R1,Unpaired1,NA,11177451,11048759
417,41-N_S78_L003_R1_001,41-N,R1,Unpaired2,NA,NA,146703
418,41-N_S78_L003_R2_001,41-N,R2,Paired,26070936,14730712,14363467
419,41-N_S78_L003_R2_001,41-N,R2,Unpaired1,NA,81332,42557
420,41-N_S78_L003_R2_001,41-N,R2,Unpaired2,NA,NA,193604
421,41-O_S51_L003_R1_001,41-O,R1,Paired,28389787,16525140,16016093
422,41-O_S51_L003_R1_001,41-O,R1,Unpaired1,NA,11618621,11474325
423,41-O_S51_L003_R1_001,41-O,R1,Unpaired2,NA,NA,166423
424,41-O_S51_L003_R2_001,41-O,R2,Paired,28389787,16525140,16016093
425,41-O_S51_L003_R2_001,41-O,R2,Unpaired1,NA,143777,64286
426,41-O_S51_L003_R2_001,41-O,R2,Unpaired2,NA,NA,273731
427,41-P_S24_L003_R1_001,41-P,R1,Paired,26987517,12903978,12562902
428,41-P_S24_L003_R1_001,41-P,R1,Unpaired1,NA,13807271,13703778
429,41-P_S24_L003_R1_001,41-P,R1,Unpaired2,NA,NA,135653
430,41-P_S24_L003_R2_001,41-P,R2,Paired,26987517,12903978,12562902
431,41-P_S24_L003_R2_001,41-P,R2,Unpaired1,NA,133003,46739
432,41-P_S24_L003_R2_001,41-P,R2,Unpaired2,NA,NA,160820
433,44-A_S42_L003_R1_001,44-A,R1,Paired,26663699,13907630,13491152
434,44-A_S42_L003_R1_001,44-A,R1,Unpaired1,NA,12513126,12391785
435,44-A_S42_L003_R1_001,44-A,R1,Unpaired2,NA,NA,165821
436,44-A_S42_L003_R2_001,44-A,R2,Paired,26663699,13907630,13491152
437,44-A_S42_L003_R2_001,44-A,R2,Unpaired1,NA,121152,50395
438,44-A_S42_L003_R2_001,44-A,R2,Unpaired2,NA,NA,200758
439,44-B_S53_L003_R1_001,44-B,R1,Paired,24493830,14728172,14342472
440,44-B_S53_L003_R1_001,44-B,R1,Unpaired1,NA,9589186,9480719
441,44-B_S53_L003_R1_001,44-B,R1,Unpaired2,NA,NA,138355
442,44-B_S53_L003_R2_001,44-B,R2,Paired,24493830,14728172,14342472
443,44-B_S53_L003_R2_001,44-B,R2,Unpaired1,NA,76019,50538
444,44-B_S53_L003_R2_001,44-B,R2,Unpaired2,NA,NA,202191
445,44-C_S5_L003_R1_001,44-C,R1,Paired,30238216,18243450,17738592
446,44-C_S5_L003_R1_001,44-C,R1,Unpaired1,NA,11734732,11578578
447,44-C_S5_L003_R1_001,44-C,R1,Unpaired2,NA,NA,198756
448,44-C_S5_L003_R2_001,44-C,R2,Paired,30238216,18243450,17738592
449,44-C_S5_L003_R2_001,44-C,R2,Unpaired1,NA,87201,55252
450,44-C_S5_L003_R2_001,44-C,R2,Unpaired2,NA,NA,267194
451,44-D_S30_L003_R1_001,44-D,R1,Paired,25304405,15604736,15143597
452,44-D_S30_L003_R1_001,44-D,R1,Unpaired1,NA,9503556,9377753
453,44-D_S30_L003_R1_001,44-D,R1,Unpaired2,NA,NA,161878
454,44-D_S30_L003_R2_001,44-D,R2,Paired,25304405,15604736,15143597
455,44-D_S30_L003_R2_001,44-D,R2,Unpaired1,NA,107921,54266
456,44-D_S30_L003_R2_001,44-D,R2,Unpaired2,NA,NA,249889
457,44-E_S111_L003_R1_001,44-E,R1,Paired,20911443,11359807,10155749
458,44-E_S111_L003_R1_001,44-E,R1,Unpaired1,NA,9244792,9005311
459,44-E_S111_L003_R1_001,44-E,R1,Unpaired2,NA,NA,152999
460,44-E_S111_L003_R2_001,44-E,R2,Paired,20911443,11359807,10155749
461,44-E_S111_L003_R2_001,44-E,R2,Unpaired1,NA,180447,108784
462,44-E_S111_L003_R2_001,44-E,R2,Unpaired2,NA,NA,641048
463,44-F_S87_L003_R1_001,44-F,R1,Paired,24920168,13749363,13425803
464,44-F_S87_L003_R1_001,44-F,R1,Unpaired1,NA,10978005,10864481
465,44-F_S87_L003_R1_001,44-F,R1,Unpaired2,NA,NA,130632
466,44-F_S87_L003_R2_001,44-F,R2,Paired,24920168,13749363,13425803
467,44-F_S87_L003_R2_001,44-F,R2,Unpaired1,NA,110902,39461
468,44-F_S87_L003_R2_001,44-F,R2,Unpaired2,NA,NA,166623
469,44-G_S14_L003_R1_001,44-G,R1,Paired,28120656,16572886,16135126
470,44-G_S14_L003_R1_001,44-G,R1,Unpaired1,NA,11360964,11217195
471,44-G_S14_L003_R1_001,44-G,R1,Unpaired2,NA,NA,175441
472,44-G_S14_L003_R2_001,44-G,R2,Paired,28120656,16572886,16135126
473,44-G_S14_L003_R2_001,44-G,R2,Unpaired1,NA,81825,50666
474,44-G_S14_L003_R2_001,44-G,R2,Unpaired2,NA,NA,230482
475,44-H_S59_L003_R1_001,44-H,R1,Paired,27734001,16291296,15867295
476,44-H_S59_L003_R1_001,44-H,R1,Unpaired1,NA,11225985,11088008
477,44-H_S59_L003_R1_001,44-H,R1,Unpaired2,NA,NA,159616
478,44-H_S59_L003_R2_001,44-H,R2,Paired,27734001,16291296,15867295
479,44-H_S59_L003_R2_001,44-H,R2,Unpaired1,NA,110138,50643
480,44-H_S59_L003_R2_001,44-H,R2,Unpaired2,NA,NA,224912
481,44-M_S26_L003_R1_001,44-M,R1,Paired,27745060,15232721,14806488
482,44-M_S26_L003_R1_001,44-M,R1,Unpaired1,NA,12172100,12037054
483,44-M_S26_L003_R1_001,44-M,R1,Unpaired2,NA,NA,149768
484,44-M_S26_L003_R2_001,44-M,R2,Paired,27745060,15232721,14806488
485,44-M_S26_L003_R2_001,44-M,R2,Unpaired1,NA,211522,51658
486,44-M_S26_L003_R2_001,44-M,R2,Unpaired2,NA,NA,224073
487,44-N_S83_L003_R1_001,13-N,R1,Paired,26992537,13927950,13399510
488,44-N_S83_L003_R1_001,13-N,R1,Unpaired1,NA,12837474,12654779
489,44-N_S83_L003_R1_001,13-N,R1,Unpaired2,NA,NA,171408
490,44-N_S83_L003_R2_001,13-N,R2,Paired,26992537,13927950,13399510
491,44-N_S83_L003_R2_001,13-N,R2,Unpaired1,NA,108734,62425
492,44-N_S83_L003_R2_001,13-N,R2,Unpaired2,NA,NA,274925
493,44-O_S73_L003_R1_001,44-O,R1,Paired,25005716,12439151,12070111
494,44-O_S73_L003_R1_001,44-O,R1,Unpaired1,NA,12263616,12118281
495,44-O_S73_L003_R1_001,44-O,R1,Unpaired2,NA,NA,149598
496,44-O_S73_L003_R2_001,44-O,R2,Paired,25005716,12439151,12070111
497,44-O_S73_L003_R2_001,44-O,R2,Unpaired1,NA,139817,39228
498,44-O_S73_L003_R2_001,44-O,R2,Unpaired2,NA,NA,176323
499,44-P_S93_L003_R1_001,44-P,R1,Paired,24950954,14553557,13773007
500,44-P_S93_L003_R1_001,44-P,R1,Unpaired1,NA,10100404,9908968
501,44-P_S93_L003_R1_001,44-P,R1,Unpaired2,NA,NA,246304
502,44-P_S93_L003_R2_001,44-P,R2,Paired,24950954,14553557,13773007
503,44-P_S93_L003_R2_001,44-P,R2,Unpaired1,NA,208834,79772
504,44-P_S93_L003_R2_001,44-P,R2,Unpaired2,NA,NA,387348
505,50-A_S38_L003_R1_001,50-A,R1,Paired,28058254,16833853,16368109
506,50-A_S38_L003_R1_001,50-A,R1,Unpaired1,NA,10982952,10840785
507,50-A_S38_L003_R1_001,50-A,R1,Unpaired2,NA,NA,181568
508,50-A_S38_L003_R2_001,50-A,R2,Paired,28058254,16833853,16368109
509,50-A_S38_L003_R2_001,50-A,R2,Unpaired1,NA,130239,51790
510,50-A_S38_L003_R2_001,50-A,R2,Unpaired2,NA,NA,243347
511,50-B_S70_L003_R1_001,50-B,R1,Paired,26751838,13438908,12919321
512,50-B_S70_L003_R1_001,50-B,R1,Unpaired1,NA,13072017,12886003
513,50-B_S70_L003_R1_001,50-B,R1,Unpaired2,NA,NA,173645
514,50-B_S70_L003_R2_001,50-B,R2,Paired,26751838,13438908,12919321
515,50-B_S70_L003_R2_001,50-B,R2,Unpaired1,NA,117661,64947
516,50-B_S70_L003_R2_001,50-B,R2,Unpaired2,NA,NA,266294
517,50-C_S45_L003_R1_001,50-C,R1,Paired,27774874,16676219,16249215
518,50-C_S45_L003_R1_001,50-C,R1,Unpaired1,NA,10922786,10787079
519,50-C_S45_L003_R1_001,50-C,R1,Unpaired2,NA,NA,160887
520,50-C_S45_L003_R2_001,50-C,R2,Paired,27774874,16676219,16249215
521,50-C_S45_L003_R2_001,50-C,R2,Unpaired1,NA,81279,49380
522,50-C_S45_L003_R2_001,50-C,R2,Unpaired2,NA,NA,231827
523,50-D_S119_L003_R1_001,50-D,R1,Paired,23228267,12155896,11080731
524,50-D_S119_L003_R1_001,50-D,R1,Unpaired1,NA,10735437,10493971
525,50-D_S119_L003_R1_001,50-D,R1,Unpaired2,NA,NA,168364
526,50-D_S119_L003_R2_001,50-D,R2,Paired,23228267,12155896,11080731
527,50-D_S119_L003_R2_001,50-D,R2,Unpaired1,NA,172615,100850
528,50-D_S119_L003_R2_001,50-D,R2,Unpaired2,NA,NA,575446
529,50-E_S10_L003_R1_001,50-E,R1,Paired,28817602,14473989,13948154
530,50-E_S10_L003_R1_001,50-E,R1,Unpaired1,NA,14003899,13804812
531,50-E_S10_L003_R1_001,50-E,R1,Unpaired2,NA,NA,174665
532,50-E_S10_L003_R2_001,50-E,R2,Paired,28817602,14473989,13948154
533,50-E_S10_L003_R2_001,50-E,R2,Unpaired1,NA,166117,63177
534,50-E_S10_L003_R2_001,50-E,R2,Unpaired2,NA,NA,274585
535,50-F_S62_L003_R1_001,50-F,R1,Paired,24867886,13949766,13519757
536,50-F_S62_L003_R1_001,50-F,R1,Unpaired1,NA,10568356,10427259
537,50-F_S62_L003_R1_001,50-F,R1,Unpaired2,NA,NA,171993
538,50-F_S62_L003_R2_001,50-F,R2,Paired,24867886,13949766,13519757
539,50-F_S62_L003_R2_001,50-F,R2,Unpaired1,NA,212033,46015
540,50-F_S62_L003_R2_001,50-F,R2,Unpaired2,NA,NA,211857
541,50-G_S118_L003_R1_001,50-G,R1,Paired,30055357,17306387,15545704
542,50-G_S118_L003_R1_001,50-G,R1,Unpaired1,NA,12241139,11906161
543,50-G_S118_L003_R1_001,50-G,R1,Unpaired2,NA,NA,222750
544,50-G_S118_L003_R2_001,50-G,R2,Paired,30055357,17306387,15545704
545,50-G_S118_L003_R2_001,50-G,R2,Unpaired1,NA,322324,169630
546,50-G_S118_L003_R2_001,50-G,R2,Unpaired2,NA,NA,966723
547,50-H_S97_L003_R1_001,50-H,R1,Paired,29219653,17141577,14294801
548,50-H_S97_L003_R1_001,50-H,R1,Unpaired1,NA,11394815,10891057
549,50-H_S97_L003_R1_001,50-H,R1,Unpaired2,NA,NA,351042
550,50-H_S97_L003_R2_001,50-H,R2,Paired,29219653,17141577,14294801
551,50-H_S97_L003_R2_001,50-H,R2,Unpaired1,NA,481368,253408
552,50-H_S97_L003_R2_001,50-H,R2,Unpaired2,NA,NA,1463584
553,50-M_S21_L003_R1_001,50-M,R1,Paired,25885873,14656434,14281348
554,50-M_S21_L003_R1_001,50-M,R1,Unpaired1,NA,10971147,10844368
555,50-M_S21_L003_R1_001,50-M,R1,Unpaired2,NA,NA,146344
556,50-M_S21_L003_R2_001,50-M,R2,Paired,25885873,14656434,14281348
557,50-M_S21_L003_R2_001,50-M,R2,Unpaired1,NA,92858,43652
558,50-M_S21_L003_R2_001,50-M,R2,Unpaired2,NA,NA,191287
559,50-N_S20_L003_R1_001,50-N,R1,Paired,24112742,13779201,13337480
560,50-N_S20_L003_R1_001,50-N,R1,Unpaired1,NA,10153277,10010662
561,50-N_S20_L003_R1_001,50-N,R1,Unpaired2,NA,NA,153351
562,50-N_S20_L003_R2_001,50-N,R2,Paired,24112742,13779201,13337480
563,50-N_S20_L003_R2_001,50-N,R2,Unpaired1,NA,87288,51035
564,50-N_S20_L003_R2_001,50-N,R2,Unpaired2,NA,NA,240132
565,50-O_S74_L003_R1_001,50-O,R1,Paired,27358658,14284136,13833955
566,50-O_S74_L003_R1_001,50-O,R1,Unpaired1,NA,12851487,12685226
567,50-O_S74_L003_R1_001,50-O,R1,Unpaired2,NA,NA,149892
568,50-O_S74_L003_R2_001,50-O,R2,Paired,27358658,14284136,13833955
569,50-O_S74_L003_R2_001,50-O,R2,Unpaired1,NA,89921,56199
570,50-O_S74_L003_R2_001,50-O,R2,Unpaired2,NA,NA,242672
571,50-P_S86_L003_R1_001,50-P,R1,Paired,28028325,15042974,14593346
572,50-P_S86_L003_R1_001,50-P,R1,Unpaired1,NA,12566335,12416510
573,50-P_S86_L003_R1_001,50-P,R1,Unpaired2,NA,NA,163618
574,50-P_S86_L003_R2_001,50-P,R2,Paired,28028325,15042974,14593346
575,50-P_S86_L003_R2_001,50-P,R2,Unpaired1,NA,296283,54275
576,50-P_S86_L003_R2_001,50-P,R2,Unpaired2,NA,NA,237121
577,62-A_S108_L003_R1_001,62-A,R1,Paired,27343827,16015717,14552534
578,62-A_S108_L003_R1_001,62-A,R1,Unpaired1,NA,10842547,10564016
579,62-A_S108_L003_R1_001,62-A,R1,Unpaired2,NA,NA,191942
580,62-A_S108_L003_R2_001,62-A,R2,Paired,27343827,16015717,14552534
581,62-A_S108_L003_R2_001,62-A,R2,Unpaired1,NA,294208,132772
582,62-A_S108_L003_R2_001,62-A,R2,Unpaired2,NA,NA,772428
583,62-B_S69_L003_R1_001,62-B,R1,Paired,23736842,12668894,12316783
584,62-B_S69_L003_R1_001,62-B,R1,Unpaired1,NA,10895365,10776689
585,62-B_S69_L003_R1_001,62-B,R1,Unpaired2,NA,NA,128002
586,62-B_S69_L003_R2_001,62-B,R2,Paired,23736842,12668894,12316783
587,62-B_S69_L003_R2_001,62-B,R2,Unpaired1,NA,64052,42292
588,62-B_S69_L003_R2_001,62-B,R2,Unpaired2,NA,NA,177712
589,62-C_S15_L003_R1_001,62-C,R1,Paired,30895067,17714958,17204789
590,62-C_S15_L003_R1_001,62-C,R1,Unpaired1,NA,12900053,12736660
591,62-C_S15_L003_R1_001,62-C,R1,Unpaired2,NA,NA,175032
592,62-C_S15_L003_R2_001,62-C,R2,Paired,30895067,17714958,17204789
593,62-C_S15_L003_R2_001,62-C,R2,Unpaired1,NA,147900,63597
594,62-C_S15_L003_R2_001,62-C,R2,Unpaired2,NA,NA,274427
595,62-D_S47_L003_R1_001,62-D,R1,Paired,27008442,15968352,15562309
596,62-D_S47_L003_R1_001,62-D,R1,Unpaired1,NA,10832128,10698190
597,62-D_S47_L003_R1_001,62-D,R1,Unpaired2,NA,NA,165913
598,62-D_S47_L003_R2_001,62-D,R2,Paired,27008442,15968352,15562309
599,62-D_S47_L003_R2_001,62-D,R2,Unpaired1,NA,112076,44707
600,62-D_S47_L003_R2_001,62-D,R2,Unpaired2,NA,NA,210939
601,62-E_S58_L003_R1_001,62-E,R1,Paired,27731495,15639009,15234105
602,62-E_S58_L003_R1_001,62-E,R1,Unpaired1,NA,11864110,11722280
603,62-E_S58_L003_R1_001,62-E,R1,Unpaired2,NA,NA,148867
604,62-E_S58_L003_R2_001,62-E,R2,Paired,27731495,15639009,15234105
605,62-E_S58_L003_R2_001,62-E,R2,Unpaired1,NA,113131,50463
606,62-E_S58_L003_R2_001,62-E,R2,Unpaired2,NA,NA,219179
607,62-F_S28_L003_R1_001,62-F,R1,Paired,27865069,13414853,12959590
608,62-F_S28_L003_R1_001,62-F,R1,Unpaired1,NA,13892679,13715697
609,62-F_S28_L003_R1_001,62-F,R1,Unpaired2,NA,NA,157066
610,62-F_S28_L003_R2_001,62-F,R2,Paired,27865069,13414853,12959590
611,62-F_S28_L003_R2_001,62-F,R2,Unpaired1,NA,331645,54558
612,62-F_S28_L003_R2_001,62-F,R2,Unpaired2,NA,NA,231569
613,62-G_S117_L003_R1_001,62-G,R1,Paired,26307407,14690168,11291079
614,62-G_S117_L003_R1_001,62-G,R1,Unpaired1,NA,10739500,10089003
615,62-G_S117_L003_R1_001,62-G,R1,Unpaired2,NA,NA,437794
616,62-G_S117_L003_R2_001,62-G,R2,Paired,26307407,14690168,11291079
617,62-G_S117_L003_R2_001,62-G,R2,Unpaired1,NA,682047,242657
618,62-G_S117_L003_R2_001,62-G,R2,Unpaired2,NA,NA,1456723
619,62-H_S3_L003_R1_001,62-H,R1,Paired,27324997,16571992,16144117
620,62-H_S3_L003_R1_001,62-H,R1,Unpaired1,NA,10565530,10440903
621,62-H_S3_L003_R1_001,62-H,R1,Unpaired2,NA,NA,146664
622,62-H_S3_L003_R2_001,62-H,R2,Paired,27324997,16571992,16144117
623,62-H_S3_L003_R2_001,62-H,R2,Unpaired1,NA,82176,53595
624,62-H_S3_L003_R2_001,62-H,R2,Unpaired2,NA,NA,236857
625,62-M_S64_L003_R1_001,62-M,R1,Paired,25860193,13935192,13512463
626,62-M_S64_L003_R1_001,62-M,R1,Unpaired1,NA,11696401,11559147
627,62-M_S64_L003_R1_001,62-M,R1,Unpaired2,NA,NA,146962
628,62-M_S64_L003_R2_001,62-M,R2,Paired,25860193,13935192,13512463
629,62-M_S64_L003_R2_001,62-M,R2,Unpaired1,NA,112070,50483
630,62-M_S64_L003_R2_001,62-M,R2,Unpaired2,NA,NA,220027
631,62-N_S100_L003_R1_001,62-N,R1,Paired,28774753,16883993,15231667
632,62-N_S100_L003_R1_001,62-N,R1,Unpaired1,NA,11442760,11154840
633,62-N_S100_L003_R1_001,62-N,R1,Unpaired2,NA,NA,213572
634,62-N_S100_L003_R2_001,62-N,R2,Paired,28774753,16883993,15231667
635,62-N_S100_L003_R2_001,62-N,R2,Unpaired1,NA,274593,148038
636,62-N_S100_L003_R2_001,62-N,R2,Unpaired2,NA,NA,866975
637,62-O_S89_L003_R1_001,62-O,R1,Paired,27622780,14277753,13879669
638,62-O_S89_L003_R1_001,62-O,R1,Unpaired1,NA,13059834,12919429
639,62-O_S89_L003_R1_001,62-O,R1,Unpaired2,NA,NA,149397
640,62-O_S89_L003_R2_001,62-O,R2,Paired,27622780,14277753,13879669
641,62-O_S89_L003_R2_001,62-O,R2,Unpaired1,NA,93751,51245
642,62-O_S89_L003_R2_001,62-O,R2,Unpaired2,NA,NA,198753
643,62-P_S43_L003_R1_001,62-P,R1,Paired,28519133,18534483,18105913
644,62-P_S43_L003_R1_001,62-P,R1,Unpaired1,NA,9800714,9699511
645,62-P_S43_L003_R1_001,62-P,R1,Unpaired2,NA,NA,146627
646,62-P_S43_L003_R2_001,62-P,R2,Paired,28519133,18534483,18105913
647,62-P_S43_L003_R2_001,62-P,R2,Unpaired1,NA,95746,58281
648,62-P_S43_L003_R2_001,62-P,R2,Unpaired2,NA,NA,238807
649,7-A_S23_L003_R1_001,7-A,R1,Paired,27108326,12853238,12465806
650,7-A_S23_L003_R1_001,7-A,R1,Unpaired1,NA,13950274,13820795
651,7-A_S23_L003_R1_001,7-A,R1,Unpaired2,NA,NA,138843
652,7-A_S23_L003_R2_001,7-A,R2,Paired,27108326,12853238,12465806
653,7-A_S23_L003_R2_001,7-A,R2,Unpaired1,NA,182023,50576
654,7-A_S23_L003_R2_001,7-A,R2,Unpaired2,NA,NA,196095
655,7-B_S36_L003_R1_001,7-B,R1,Paired,26203825,14537117,14199981
656,7-B_S36_L003_R1_001,7-B,R1,Unpaired1,NA,11404521,11299084
657,7-B_S36_L003_R1_001,7-B,R1,Unpaired2,NA,NA,129588
658,7-B_S36_L003_R2_001,7-B,R2,Paired,26203825,14537117,14199981
659,7-B_S36_L003_R2_001,7-B,R2,Unpaired1,NA,131995,43098
660,7-B_S36_L003_R2_001,7-B,R2,Unpaired2,NA,NA,169724
661,7-C_S32_L003_R1_001,7-C,R1,Paired,23646610,11291465,10657035
662,7-C_S32_L003_R1_001,7-C,R1,Unpaired1,NA,11815867,11619648
663,7-C_S32_L003_R1_001,7-C,R1,Unpaired2,NA,NA,235255
664,7-C_S32_L003_R2_001,7-C,R2,Paired,23646610,11291465,10657035
665,7-C_S32_L003_R2_001,7-C,R2,Unpaired1,NA,319343,66141
666,7-C_S32_L003_R2_001,7-C,R2,Unpaired2,NA,NA,288987
667,7-E_S88_L003_R1_001,7-E,R1,Paired,27284441,11788933,11343177
668,7-E_S88_L003_R1_001,7-E,R1,Unpaired1,NA,15165465,14968873
669,7-E_S88_L003_R1_001,7-E,R1,Unpaired2,NA,NA,156303
670,7-E_S88_L003_R2_001,7-E,R2,Paired,27284441,11788933,11343177
671,7-E_S88_L003_R2_001,7-E,R2,Unpaired1,NA,152013,55222
672,7-E_S88_L003_R2_001,7-E,R2,Unpaired2,NA,NA,226124
673,7-F_S98_L003_R1_001,7-F,R1,Paired,25968514,15878682,13776605
674,7-F_S98_L003_R1_001,7-F,R1,Unpaired1,NA,9624988,9256408
675,7-F_S98_L003_R1_001,7-F,R1,Unpaired2,NA,NA,288998
676,7-F_S98_L003_R2_001,7-F,R2,Paired,25968514,15878682,13776605
677,7-F_S98_L003_R2_001,7-F,R2,Unpaired1,NA,321985,163173
678,7-F_S98_L003_R2_001,7-F,R2,Unpaired2,NA,NA,1079453
679,7-G_S48_L003_R1_001,7-G,R1,Paired,26670724,13633697,13242995
680,7-G_S48_L003_R1_001,7-G,R1,Unpaired1,NA,12784294,12646337
681,7-G_S48_L003_R1_001,7-G,R1,Unpaired2,NA,NA,149121
682,7-G_S48_L003_R2_001,7-G,R2,Paired,26670724,13633697,13242995
683,7-G_S48_L003_R2_001,7-G,R2,Unpaired1,NA,115150,48241
684,7-G_S48_L003_R2_001,7-G,R2,Unpaired2,NA,NA,193679
685,7-H_S82_L003_R1_001,7-H,R1,Paired,29569970,15379213,14855811
686,7-H_S82_L003_R1_001,7-H,R1,Unpaired1,NA,13952287,13759105
687,7-H_S82_L003_R1_001,7-H,R1,Unpaired2,NA,NA,175280
688,7-H_S82_L003_R2_001,7-H,R2,Paired,29569970,15379213,14855811
689,7-H_S82_L003_R2_001,7-H,R2,Unpaired1,NA,107961,59920
