,SampleId,Pairedness2,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
347,50-C_S45_L003_R2_001,Paired,50-C,R2,27774874,16676219,16249215
348,50-C_S45_L003_R2_001,Unpaired,50-C,R2,NA,81279,281207
349,50-D_S119_L003_R1_001,Paired,50-D,R1,23228267,12155896,11080731
350,50-D_S119_L003_R1_001,Unpaired,50-D,R1,NA,10735437,10662335
351,50-D_S119_L003_R2_001,Paired,50-D,R2,23228267,12155896,11080731
352,50-D_S119_L003_R2_001,Unpaired,50-D,R2,NA,172615,676296
353,50-E_S10_L003_R1_001,Paired,50-E,R1,28817602,14473989,13948154
354,50-E_S10_L003_R1_001,Unpaired,50-E,R1,NA,14003899,13979477
355,50-E_S10_L003_R2_001,Paired,50-E,R2,28817602,14473989,13948154
356,50-E_S10_L003_R2_001,Unpaired,50-E,R2,NA,166117,337762
357,50-F_S62_L003_R1_001,Paired,50-F,R1,24867886,13949766,13519757
358,50-F_S62_L003_R1_001,Unpaired,50-F,R1,NA,10568356,10599252
359,50-F_S62_L003_R2_001,Paired,50-F,R2,24867886,13949766,13519757
360,50-F_S62_L003_R2_001,Unpaired,50-F,R2,NA,212033,257872
361,50-G_S118_L003_R1_001,Paired,50-G,R1,30055357,17306387,15545704
362,50-G_S118_L003_R1_001,Unpaired,50-G,R1,NA,12241139,12128911
363,50-G_S118_L003_R2_001,Paired,50-G,R2,30055357,17306387,15545704
364,50-G_S118_L003_R2_001,Unpaired,50-G,R2,NA,322324,1136353
365,50-H_S97_L003_R1_001,Paired,50-H,R1,29219653,17141577,14294801
366,50-H_S97_L003_R1_001,Unpaired,50-H,R1,NA,11394815,11242099
367,50-H_S97_L003_R2_001,Paired,50-H,R2,29219653,17141577,14294801
368,50-H_S97_L003_R2_001,Unpaired,50-H,R2,NA,481368,1716992
369,50-M_S21_L003_R1_001,Paired,50-M,R1,25885873,14656434,14281348
370,50-M_S21_L003_R1_001,Unpaired,50-M,R1,NA,10971147,10990712
371,50-M_S21_L003_R2_001,Paired,50-M,R2,25885873,14656434,14281348
372,50-M_S21_L003_R2_001,Unpaired,50-M,R2,NA,92858,234939
373,50-N_S20_L003_R1_001,Paired,50-N,R1,24112742,13779201,13337480
374,50-N_S20_L003_R1_001,Unpaired,50-N,R1,NA,10153277,10164013
375,50-N_S20_L003_R2_001,Paired,50-N,R2,24112742,13779201,13337480
376,50-N_S20_L003_R2_001,Unpaired,50-N,R2,NA,87288,291167
377,50-O_S74_L003_R1_001,Paired,50-O,R1,27358658,14284136,13833955
378,50-O_S74_L003_R1_001,Unpaired,50-O,R1,NA,12851487,12835118
379,50-O_S74_L003_R2_001,Paired,50-O,R2,27358658,14284136,13833955
380,50-O_S74_L003_R2_001,Unpaired,50-O,R2,NA,89921,298871
381,50-P_S86_L003_R1_001,Paired,50-P,R1,28028325,15042974,14593346
382,50-P_S86_L003_R1_001,Unpaired,50-P,R1,NA,12566335,12580128
383,50-P_S86_L003_R2_001,Paired,50-P,R2,28028325,15042974,14593346
384,50-P_S86_L003_R2_001,Unpaired,50-P,R2,NA,296283,291396
385,62-A_S108_L003_R1_001,Paired,62-A,R1,27343827,16015717,14552534
386,62-A_S108_L003_R1_001,Unpaired,62-A,R1,NA,10842547,10755958
387,62-A_S108_L003_R2_001,Paired,62-A,R2,27343827,16015717,14552534
388,62-A_S108_L003_R2_001,Unpaired,62-A,R2,NA,294208,905200
389,62-B_S69_L003_R1_001,Paired,62-B,R1,23736842,12668894,12316783
390,62-B_S69_L003_R1_001,Unpaired,62-B,R1,NA,10895365,10904691
391,62-B_S69_L003_R2_001,Paired,62-B,R2,23736842,12668894,12316783
392,62-B_S69_L003_R2_001,Unpaired,62-B,R2,NA,64052,220004
393,62-C_S15_L003_R1_001,Paired,62-C,R1,30895067,17714958,17204789
394,62-C_S15_L003_R1_001,Unpaired,62-C,R1,NA,12900053,12911692
395,62-C_S15_L003_R2_001,Paired,62-C,R2,30895067,17714958,17204789
396,62-C_S15_L003_R2_001,Unpaired,62-C,R2,NA,147900,338024
397,62-D_S47_L003_R1_001,Paired,62-D,R1,27008442,15968352,15562309
398,62-D_S47_L003_R1_001,Unpaired,62-D,R1,NA,10832128,10864103
399,62-D_S47_L003_R2_001,Paired,62-D,R2,27008442,15968352,15562309
400,62-D_S47_L003_R2_001,Unpaired,62-D,R2,NA,112076,255646
401,62-E_S58_L003_R1_001,Paired,62-E,R1,27731495,15639009,15234105
402,62-E_S58_L003_R1_001,Unpaired,62-E,R1,NA,11864110,11871147
403,62-E_S58_L003_R2_001,Paired,62-E,R2,27731495,15639009,15234105
404,62-E_S58_L003_R2_001,Unpaired,62-E,R2,NA,113131,269642
405,62-F_S28_L003_R1_001,Paired,62-F,R1,27865069,13414853,12959590
406,62-F_S28_L003_R1_001,Unpaired,62-F,R1,NA,13892679,13872763
407,62-F_S28_L003_R2_001,Paired,62-F,R2,27865069,13414853,12959590
408,62-F_S28_L003_R2_001,Unpaired,62-F,R2,NA,331645,286127
409,62-G_S117_L003_R1_001,Paired,62-G,R1,26307407,14690168,11291079
410,62-G_S117_L003_R1_001,Unpaired,62-G,R1,NA,10739500,10526797
411,62-G_S117_L003_R2_001,Paired,62-G,R2,26307407,14690168,11291079
412,62-G_S117_L003_R2_001,Unpaired,62-G,R2,NA,682047,1699380
413,62-H_S3_L003_R1_001,Paired,62-H,R1,27324997,16571992,16144117
414,62-H_S3_L003_R1_001,Unpaired,62-H,R1,NA,10565530,10587567
415,62-H_S3_L003_R2_001,Paired,62-H,R2,27324997,16571992,16144117
416,62-H_S3_L003_R2_001,Unpaired,62-H,R2,NA,82176,290452
417,62-M_S64_L003_R1_001,Paired,62-M,R1,25860193,13935192,13512463
418,62-M_S64_L003_R1_001,Unpaired,62-M,R1,NA,11696401,11706109
419,62-M_S64_L003_R2_001,Paired,62-M,R2,25860193,13935192,13512463
420,62-M_S64_L003_R2_001,Unpaired,62-M,R2,NA,112070,270510
421,62-N_S100_L003_R1_001,Paired,62-N,R1,28774753,16883993,15231667
422,62-N_S100_L003_R1_001,Unpaired,62-N,R1,NA,11442760,11368412
423,62-N_S100_L003_R2_001,Paired,62-N,R2,28774753,16883993,15231667
424,62-N_S100_L003_R2_001,Unpaired,62-N,R2,NA,274593,1015013
425,62-O_S89_L003_R1_001,Paired,62-O,R1,27622780,14277753,13879669
426,62-O_S89_L003_R1_001,Unpaired,62-O,R1,NA,13059834,13068826
427,62-O_S89_L003_R2_001,Paired,62-O,R2,27622780,14277753,13879669
428,62-O_S89_L003_R2_001,Unpaired,62-O,R2,NA,93751,249998
429,62-P_S43_L003_R1_001,Paired,62-P,R1,28519133,18534483,18105913
430,62-P_S43_L003_R1_001,Unpaired,62-P,R1,NA,9800714,9846138
431,62-P_S43_L003_R2_001,Paired,62-P,R2,28519133,18534483,18105913
432,62-P_S43_L003_R2_001,Unpaired,62-P,R2,NA,95746,297088
433,7-A_S23_L003_R1_001,Paired,7-A,R1,27108326,12853238,12465806
434,7-A_S23_L003_R1_001,Unpaired,7-A,R1,NA,13950274,13959638
435,7-A_S23_L003_R2_001,Paired,7-A,R2,27108326,12853238,12465806
436,7-A_S23_L003_R2_001,Unpaired,7-A,R2,NA,182023,246671
437,7-B_S36_L003_R1_001,Paired,7-B,R1,26203825,14537117,14199981
438,7-B_S36_L003_R1_001,Unpaired,7-B,R1,NA,11404521,11428672
439,7-B_S36_L003_R2_001,Paired,7-B,R2,26203825,14537117,14199981
440,7-B_S36_L003_R2_001,Unpaired,7-B,R2,NA,131995,212822
441,7-C_S32_L003_R1_001,Paired,7-C,R1,23646610,11291465,10657035
442,7-C_S32_L003_R1_001,Unpaired,7-C,R1,NA,11815867,11854903
443,7-C_S32_L003_R2_001,Paired,7-C,R2,23646610,11291465,10657035
444,7-C_S32_L003_R2_001,Unpaired,7-C,R2,NA,319343,355128
445,7-E_S88_L003_R1_001,Paired,7-E,R1,27284441,11788933,11343177
446,7-E_S88_L003_R1_001,Unpaired,7-E,R1,NA,15165465,15125176
447,7-E_S88_L003_R2_001,Paired,7-E,R2,27284441,11788933,11343177
448,7-E_S88_L003_R2_001,Unpaired,7-E,R2,NA,152013,281346
449,7-F_S98_L003_R1_001,Paired,7-F,R1,25968514,15878682,13776605
450,7-F_S98_L003_R1_001,Unpaired,7-F,R1,NA,9624988,9545406
451,7-F_S98_L003_R2_001,Paired,7-F,R2,25968514,15878682,13776605
452,7-F_S98_L003_R2_001,Unpaired,7-F,R2,NA,321985,1242626
453,7-G_S48_L003_R1_001,Paired,7-G,R1,26670724,13633697,13242995
454,7-G_S48_L003_R1_001,Unpaired,7-G,R1,NA,12784294,12795458
455,7-G_S48_L003_R2_001,Paired,7-G,R2,26670724,13633697,13242995
456,7-G_S48_L003_R2_001,Unpaired,7-G,R2,NA,115150,241920
457,7-H_S82_L003_R1_001,Paired,7-H,R1,29569970,15379213,14855811
458,7-H_S82_L003_R1_001,Unpaired,7-H,R1,NA,13952287,13934385
459,7-H_S82_L003_R2_001,Paired,7-H,R2,29569970,15379213,14855811
460,7-H_S82_L003_R2_001,Unpaired,7-H,R2,NA,107961,338750
461,7-M_S76_L003_R1_001,Paired,7-M,R1,28080811,16588104,16177989
462,7-M_S76_L003_R1_001,Unpaired,7-M,R1,NA,11285712,11314302
463,7-M_S76_L003_R2_001,Paired,7-M,R2,28080811,16588104,16177989
464,7-M_S76_L003_R2_001,Unpaired,7-M,R2,NA,91466,267900
465,7-N_S11_L003_R1_001,Paired,7-N,R1,26737415,13920562,13476854
466,7-N_S11_L003_R1_001,Unpaired,7-N,R1,NA,12572610,12564024
467,7-N_S11_L003_R2_001,Paired,7-N,R2,26737415,13920562,13476854
468,7-N_S11_L003_R2_001,Unpaired,7-N,R2,NA,105291,289929
469,7-O_S63_L003_R1_001,Paired,7-O,R1,26064592,12948352,12563605
470,7-O_S63_L003_R1_001,Unpaired,7-O,R1,NA,12842402,12897235
471,7-O_S63_L003_R2_001,Paired,7-O,R2,26064592,12948352,12563605
472,7-O_S63_L003_R2_001,Unpaired,7-O,R2,NA,130616,214358
473,7-P_S103_L003_R1_001,Paired,7-P,R1,31324697,17163334,14999290
474,7-P_S103_L003_R1_001,Unpaired,7-P,R1,NA,13604374,13469336
475,7-P_S103_L003_R2_001,Paired,7-P,R2,31324697,17163334,14999290
476,7-P_S103_L003_R2_001,Unpaired,7-P,R2,NA,313624,1264860
