,SampleId,Pairedness2,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
79,13-H_S19_L003_R2_001,Paired,13-H,R2,26071008,15326035,14822670
80,13-H_S19_L003_R2_001,Unpaired,13-H,R2,NA,130337,326742
81,13-M_S109_L003_R1_001,Paired,13-M,R1,22108394,12841431,11376324
82,13-M_S109_L003_R1_001,Unpaired,13-M,R1,NA,8886183,8810786
83,13-M_S109_L003_R2_001,Paired,13-M,R2,22108394,12841431,11376324
84,13-M_S109_L003_R2_001,Unpaired,13-M,R2,NA,243478,906247
85,13-N_S81_L003_R1_001,Paired,44-N,R1,24548828,12862017,12505761
86,13-N_S81_L003_R1_001,Unpaired,44-N,R1,NA,11478704,11482583
87,13-N_S81_L003_R2_001,Paired,44-N,R2,24548828,12862017,12505761
88,13-N_S81_L003_R2_001,Unpaired,44-N,R2,NA,70984,222717
89,13-O_S33_L003_R1_001,Paired,13-O,R1,29418994,16696668,16208657
90,13-O_S33_L003_R1_001,Unpaired,13-O,R1,NA,12460400,12470120
91,13-O_S33_L003_R2_001,Paired,13-O,R2,29418994,16696668,16208657
92,13-O_S33_L003_R2_001,Unpaired,13-O,R2,NA,107568,322154
93,13-P_S99_L003_R1_001,Paired,13-P,R1,27951221,16842086,15083926
94,13-P_S99_L003_R1_001,Unpaired,13-P,R1,NA,10647000,10543736
95,13-P_S99_L003_R2_001,Paired,13-P,R2,27951221,16842086,15083926
96,13-P_S99_L003_R2_001,Unpaired,13-P,R2,NA,288320,1040382
97,3-A_S90_L003_R1_001,Paired,3-A,R1,27458445,15606139,15126644
98,3-A_S90_L003_R1_001,Unpaired,3-A,R1,NA,11596828,11615038
99,3-A_S90_L003_R2_001,Paired,3-A,R2,27458445,15606139,15126644
100,3-A_S90_L003_R2_001,Unpaired,3-A,R2,NA,112784,303793
101,3-B_S25_L003_R1_001,Paired,3-B,R1,24522795,12938827,12470220
102,3-B_S25_L003_R1_001,Unpaired,3-B,R1,NA,11333682,11353989
103,3-B_S25_L003_R2_001,Paired,3-B,R2,24522795,12938827,12470220
104,3-B_S25_L003_R2_001,Unpaired,3-B,R2,NA,113798,282769
105,3-C_S9_L003_R1_001,Paired,3-C,R1,24378489,12515723,12140329
106,3-C_S9_L003_R1_001,Unpaired,3-C,R1,NA,11637031,11622553
107,3-C_S9_L003_R2_001,Paired,3-C,R2,24378489,12515723,12140329
108,3-C_S9_L003_R2_001,Unpaired,3-C,R2,NA,80049,244906
109,3-D_S75_L003_R1_001,Paired,3-D,R1,26999102,14358147,13944954
110,3-D_S75_L003_R1_001,Unpaired,3-D,R1,NA,12449898,12441398
111,3-D_S75_L003_R2_001,Paired,3-D,R2,26999102,14358147,13944954
112,3-D_S75_L003_R2_001,Unpaired,3-D,R2,NA,90377,275126
113,3-E_S39_L003_R1_001,Paired,3-E,R1,27730603,15600043,15145217
114,3-E_S39_L003_R1_001,Unpaired,3-E,R1,NA,11895540,11906416
115,3-E_S39_L003_R2_001,Paired,3-E,R2,27730603,15600043,15145217
116,3-E_S39_L003_R2_001,Unpaired,3-E,R2,NA,115565,297093
117,3-F_S4_L003_R1_001,Paired,3-F,R1,30433635,17721096,17220758
118,3-F_S4_L003_R1_001,Unpaired,3-F,R1,NA,12390080,12439290
119,3-F_S4_L003_R2_001,Paired,3-F,R2,30433635,17721096,17220758
120,3-F_S4_L003_R2_001,Unpaired,3-F,R2,NA,138640,302829
121,3-G_S16_L003_R1_001,Paired,3-G,R1,27318509,14418124,13836564
122,3-G_S16_L003_R1_001,Unpaired,3-G,R1,NA,12675198,12662114
123,3-G_S16_L003_R2_001,Paired,3-G,R2,27318509,14418124,13836564
124,3-G_S16_L003_R2_001,Unpaired,3-G,R2,NA,110868,384878
125,3-H_S110_L003_R1_001,Paired,3-H,R1,26606422,18002053,16116574
126,3-H_S110_L003_R1_001,Unpaired,3-H,R1,NA,8042886,7938448
127,3-H_S110_L003_R2_001,Paired,3-H,R2,26606422,18002053,16116574
128,3-H_S110_L003_R2_001,Unpaired,3-H,R2,NA,447233,1115746
129,3-M_S65_L003_R1_001,Paired,3-M,R1,30649742,14468225,13889442
130,3-M_S65_L003_R1_001,Unpaired,3-M,R1,NA,15811313,15801832
131,3-M_S65_L003_R2_001,Paired,3-M,R2,30649742,14468225,13889442
132,3-M_S65_L003_R2_001,Unpaired,3-M,R2,NA,135136,336195
133,3-N_S46_L003_R1_001,Paired,3-N,R1,27959790,15314662,14892256
134,3-N_S46_L003_R1_001,Unpaired,3-N,R1,NA,12420307,12424533
135,3-N_S46_L003_R2_001,Paired,3-N,R2,27959790,15314662,14892256
136,3-N_S46_L003_R2_001,Unpaired,3-N,R2,NA,84873,273758
137,3-O_S115_L003_R1_001,Paired,3-O,R1,25943632,14867285,13005681
138,3-O_S115_L003_R1_001,Unpaired,3-O,R1,NA,10590665,10475422
139,3-O_S115_L003_R2_001,Paired,3-O,R2,25943632,14867285,13005681
140,3-O_S115_L003_R2_001,Unpaired,3-O,R2,NA,312786,1105906
141,3-P_S72_L003_R1_001,Paired,3-P,R1,26116162,13846601,13444968
142,3-P_S72_L003_R1_001,Unpaired,3-P,R1,NA,12077436,12070462
143,3-P_S72_L003_R2_001,Paired,3-P,R2,26116162,13846601,13444968
144,3-P_S72_L003_R2_001,Unpaired,3-P,R2,NA,93891,261410
145,31-A_S71_L003_R1_001,Paired,31-A,R1,27765592,14779624,14344774
146,31-A_S71_L003_R1_001,Unpaired,31-A,R1,NA,12758941,12764829
147,31-A_S71_L003_R2_001,Paired,31-A,R2,27765592,14779624,14344774
148,31-A_S71_L003_R2_001,Unpaired,31-A,R2,NA,110997,280885
149,31-B_S35_L003_R1_001,Paired,31-B,R1,28386451,16699311,16267656
150,31-B_S35_L003_R1_001,Unpaired,31-B,R1,NA,11464906,11487993
151,31-B_S35_L003_R2_001,Paired,31-B,R2,28386451,16699311,16267656
152,31-B_S35_L003_R2_001,Unpaired,31-B,R2,NA,94394,287249
153,31-C_S80_L003_R1_001,Paired,31-C,R1,23842041,11129112,10712052
154,31-C_S80_L003_R1_001,Unpaired,31-C,R1,NA,12474160,12480472
155,31-C_S80_L003_R2_001,Paired,31-C,R2,23842041,11129112,10712052
156,31-C_S80_L003_R2_001,Unpaired,31-C,R2,NA,115051,253924
157,31-D_S113_L003_R1_001,Paired,31-D,R1,27520250,16427896,14699048
158,31-D_S113_L003_R1_001,Unpaired,31-D,R1,NA,10498763,10396672
159,31-D_S113_L003_R2_001,Paired,31-D,R2,27520250,16427896,14699048
160,31-D_S113_L003_R2_001,Unpaired,31-D,R2,NA,412260,932356
161,31-E_S17_L003_R1_001,Paired,31-E,R1,21619773,11279678,10800629
162,31-E_S17_L003_R1_001,Unpaired,31-E,R1,NA,10051740,10043923
163,31-E_S17_L003_R2_001,Paired,31-E,R2,21619773,11279678,10800629
164,31-E_S17_L003_R2_001,Unpaired,31-E,R2,NA,139429,301777
165,31-F_S49_L003_R1_001,Paired,31-F,R1,26601861,15345784,14925545
166,31-F_S49_L003_R1_001,Unpaired,31-F,R1,NA,11025833,11039828
167,31-F_S49_L003_R2_001,Paired,31-F,R2,26601861,15345784,14925545
168,31-F_S49_L003_R2_001,Unpaired,31-F,R2,NA,95035,281747
169,31-G_S106_L003_R1_001,Paired,31-G,R1,23565210,15693136,11205110
170,31-G_S106_L003_R1_001,Unpaired,31-G,R1,NA,6870508,6722376
171,31-G_S106_L003_R2_001,Paired,31-G,R2,23565210,15693136,11205110
172,31-G_S106_L003_R2_001,Unpaired,31-G,R2,NA,856627,2360618
173,31-H_S96_L003_R1_001,Paired,31-H,R1,20183109,11497518,10895672
174,31-H_S96_L003_R1_001,Unpaired,31-H,R1,NA,8446542,8451434
175,31-H_S96_L003_R2_001,Paired,31-H,R2,20183109,11497518,10895672
176,31-H_S96_L003_R2_001,Unpaired,31-H,R2,NA,159296,371101
177,31-M_S92_L003_R1_001,Paired,31-M,R1,26183510,12519808,12018420
178,31-M_S92_L003_R1_001,Unpaired,31-M,R1,NA,13415819,13389868
179,31-M_S92_L003_R2_001,Paired,31-M,R2,26183510,12519808,12018420
180,31-M_S92_L003_R2_001,Unpaired,31-M,R2,NA,107997,321333
181,31-N_S2_L003_R1_001,Paired,31-N,R1,26561181,15170985,14689590
182,31-N_S2_L003_R1_001,Unpaired,31-N,R1,NA,11146370,11179283
183,31-N_S2_L003_R2_001,Paired,31-N,R2,26561181,15170985,14689590
184,31-N_S2_L003_R2_001,Unpaired,31-N,R2,NA,90136,305162
185,31-O_S66_L003_R1_001,Paired,31-O,R1,25803407,12760266,12229863
186,31-O_S66_L003_R1_001,Unpaired,31-O,R1,NA,12789549,12800685
187,31-O_S66_L003_R2_001,Paired,31-O,R2,25803407,12760266,12229863
188,31-O_S66_L003_R2_001,Unpaired,31-O,R2,NA,135975,315267
189,31-P_S56_L003_R1_001,Paired,31-P,R1,23457699,11313058,10989850
190,31-P_S56_L003_R1_001,Unpaired,31-P,R1,NA,11852478,11866093
191,31-P_S56_L003_R2_001,Paired,31-P,R2,23457699,11313058,10989850
192,31-P_S56_L003_R2_001,Unpaired,31-P,R2,NA,118144,187496
193,36-A_S1_L003_R1_001,Paired,36-A,R1,26316603,14279182,13754078
194,36-A_S1_L003_R1_001,Unpaired,36-A,R1,NA,11736153,11739639
195,36-A_S1_L003_R2_001,Paired,36-A,R2,26316603,14279182,13754078
196,36-A_S1_L003_R2_001,Unpaired,36-A,R2,NA,125849,344280
197,36-B_S55_L003_R1_001,Paired,36-B,R1,29993157,16700654,16240648
198,36-B_S55_L003_R1_001,Unpaired,36-B,R1,NA,13010112,13024199
199,36-B_S55_L003_R2_001,Paired,36-B,R2,29993157,16700654,16240648
200,36-B_S55_L003_R2_001,Unpaired,36-B,R2,NA,120605,291587
201,36-C_S57_L003_R1_001,Paired,36-C,R1,23562955,12664393,12285794
202,36-C_S57_L003_R1_001,Unpaired,36-C,R1,NA,10694683,10703123
203,36-C_S57_L003_R2_001,Paired,36-C,R2,23562955,12664393,12285794
