,SampleId,Sample,Read,Initial,afterTrimmo,afterTrimGal_Sum
88,31-H_S96_L003_R2_001,31-H,R2,20183109,11656814,11266773
89,31-M_S92_L003_R1_001,31-M,R1,26183510,25935627,25408288
90,31-M_S92_L003_R2_001,31-M,R2,26183510,12627805,12339753
91,31-N_S2_L003_R1_001,31-N,R1,26561181,26317355,25868873
92,31-N_S2_L003_R2_001,31-N,R2,26561181,15261121,14994752
93,31-O_S66_L003_R1_001,31-O,R1,25803407,25549815,25030548
94,31-O_S66_L003_R2_001,31-O,R2,25803407,12896241,12545130
95,31-P_S56_L003_R1_001,31-P,R1,23457699,23165536,22855943
96,31-P_S56_L003_R2_001,31-P,R2,23457699,11431202,11177346
97,36-A_S1_L003_R1_001,36-A,R1,26316603,26015335,25493717
98,36-A_S1_L003_R2_001,36-A,R2,26316603,14405031,14098358
99,36-B_S55_L003_R1_001,36-B,R1,29993157,29710766,29264847
100,36-B_S55_L003_R2_001,36-B,R2,29993157,16821259,16532235
101,36-C_S57_L003_R1_001,36-C,R1,23562955,23359076,22988917
102,36-C_S57_L003_R2_001,36-C,R2,23562955,12743834,12520716
103,36-D_S94_L003_R1_001,36-D,R1,24193212,23886020,23125064
104,36-D_S94_L003_R2_001,36-D,R2,24193212,14005298,13464873
105,36-E_S107_L003_R1_001,36-E,R1,25950785,25250807,22040274
106,36-E_S107_L003_R2_001,36-E,R2,25950785,15372605,13545047
107,36-F_S31_L003_R1_001,36-F,R1,25614859,25407864,25016413
108,36-F_S31_L003_R2_001,36-F,R2,25614859,14698227,14454684
109,36-G_S7_L003_R1_001,36-G,R1,28046994,27805684,27351921
110,36-G_S7_L003_R2_001,36-G,R2,28046994,16892166,16627861
111,36-H_S52_L003_R1_001,36-H,R1,26011100,25774374,25299695
112,36-H_S52_L003_R2_001,36-H,R2,26011100,15821164,15522752
113,36-M_S37_L003_R1_001,36-M,R1,27663376,27382671,26908400
114,36-M_S37_L003_R2_001,36-M,R2,27663376,13632412,13367856
115,36-N_S40_L003_R1_001,36-N,R1,28469726,28250285,27794638
116,36-N_S40_L003_R2_001,36-N,R2,28469726,16437669,16185735
117,36-O_S22_L003_R1_001,36-O,R1,27548271,27193742,26676132
118,36-O_S22_L003_R2_001,36-O,R2,27548271,12652689,12309355
119,36-P_S85_L003_R1_001,36-P,R1,28101062,27892319,27451761
120,36-P_S85_L003_R2_001,36-P,R2,28101062,16313571,16056284
121,41-A_S91_L003_R1_001,41-A,R1,26214021,25969604,25501594
122,41-A_S91_L003_R2_001,41-A,R2,26214021,13228156,12950496
123,41-B_S101_L003_R1_001,41-B,R1,28846902,28194471,25415424
124,41-B_S101_L003_R2_001,41-B,R2,28846902,17554845,15992639
125,41-C_S27_L003_R1_001,41-C,R1,27670431,27434925,26951321
126,41-C_S27_L003_R2_001,41-C,R2,27670431,16072310,15766844
127,41-D_S12_L003_R1_001,41-D,R1,23769494,23446686,22924407
128,41-D_S12_L003_R2_001,41-D,R2,23769494,11376193,11013857
129,41-E_S6_L003_R1_001,41-E,R1,30071189,29843904,29345265
130,41-E_S6_L003_R2_001,41-E,R2,30071189,18502336,18215935
131,41-F_S60_L003_R1_001,41-F,R1,23797385,23617296,23285687
132,41-F_S60_L003_R2_001,41-F,R2,23797385,12779807,12550654
133,41-G_S18_L003_R1_001,41-G,R1,26948162,26621705,25906003
134,41-G_S18_L003_R2_001,41-G,R2,26948162,13886297,13445220
135,41-H_S41_L003_R1_001,41-H,R1,28172233,27889918,27346310
136,41-H_S41_L003_R2_001,41-H,R2,28172233,16107484,15762551
137,41-M_S34_L003_R1_001,41-M,R1,29076288,28694845,28368487
138,41-M_S34_L003_R2_001,41-M,R2,29076288,15183156,14779644
139,41-N_S78_L003_R1_001,41-N,R1,26070936,25908163,25558929
140,41-N_S78_L003_R2_001,41-N,R2,26070936,14812044,14599628
141,41-O_S51_L003_R1_001,41-O,R1,28389787,28143761,27656841
142,41-O_S51_L003_R2_001,41-O,R2,28389787,16668917,16354110
143,41-P_S24_L003_R1_001,41-P,R1,26987517,26711249,26402333
144,41-P_S24_L003_R2_001,41-P,R2,26987517,13036981,12770461
145,44-A_S42_L003_R1_001,44-A,R1,26663699,26420756,26048758
146,44-A_S42_L003_R2_001,44-A,R2,26663699,14028782,13742305
147,44-B_S53_L003_R1_001,44-B,R1,24493830,24317358,23961546
148,44-B_S53_L003_R2_001,44-B,R2,24493830,14804191,14595201
149,44-C_S5_L003_R1_001,44-C,R1,30238216,29978182,29515926
150,44-C_S5_L003_R2_001,44-C,R2,30238216,18330651,18061038
151,44-D_S30_L003_R1_001,44-D,R1,25304405,25108292,24683228
152,44-D_S30_L003_R2_001,44-D,R2,25304405,15712657,15447752
153,44-E_S111_L003_R1_001,44-E,R1,20911443,20604599,19314059
154,44-E_S111_L003_R2_001,44-E,R2,20911443,11540254,10905581
155,44-F_S87_L003_R1_001,44-F,R1,24920168,24727368,24420916
156,44-F_S87_L003_R2_001,44-F,R2,24920168,13860265,13631887
157,44-G_S14_L003_R1_001,44-G,R1,28120656,27933850,27527762
158,44-G_S14_L003_R2_001,44-G,R2,28120656,16654711,16416274
159,44-H_S59_L003_R1_001,44-H,R1,27734001,27517281,27114919
160,44-H_S59_L003_R2_001,44-H,R2,27734001,16401434,16142850
161,44-M_S26_L003_R1_001,44-M,R1,27745060,27404821,26993310
162,44-M_S26_L003_R2_001,44-M,R2,27745060,15444243,15082219
163,44-N_S83_L003_R1_001,13-N,R1,26992537,26765424,26225697
164,44-N_S83_L003_R2_001,13-N,R2,26992537,14036684,13736860
165,44-O_S73_L003_R1_001,44-O,R1,25005716,24702767,24337990
166,44-O_S73_L003_R2_001,44-O,R2,25005716,12578968,12285662
167,44-P_S93_L003_R1_001,44-P,R1,24950954,24653961,23928279
168,44-P_S93_L003_R2_001,44-P,R2,24950954,14762391,14240127
169,50-A_S38_L003_R1_001,50-A,R1,28058254,27816805,27390462
170,50-A_S38_L003_R2_001,50-A,R2,28058254,16964092,16663246
171,50-B_S70_L003_R1_001,50-B,R1,26751838,26510925,25978969
172,50-B_S70_L003_R2_001,50-B,R2,26751838,13556569,13250562
173,50-C_S45_L003_R1_001,50-C,R1,27774874,27599005,27197181
