SampleId	afterTrimGal
41-A_S91_L003_R1_001	12650875
41-A_S91_L003_R2_001	12650875
41-A_unpaired_all	13150340
41-B_S101_L003_R1_001	14520199
41-B_S101_L003_R2_001	14520199
41-B_unpaired_all	12367665
41-C_S27_L003_R1_001	15424203
41-C_S27_L003_R2_001	15424203
41-C_unpaired_all	11869759
41-D_S12_L003_R1_001	10701872
41-D_S12_L003_R2_001	10701872
41-D_unpaired_all	12534520
41-E_S6_L003_R1_001	17865868
41-E_S6_L003_R2_001	17865868
41-E_unpaired_all	11829464
41-F_S60_L003_R1_001	12333970
41-F_S60_L003_R2_001	12333970
41-F_unpaired_all	11168401
41-G_S18_L003_R1_001	13009534
41-G_S18_L003_R2_001	13009534
41-G_unpaired_all	13332155
41-H_S41_L003_R1_001	15405896
41-H_S41_L003_R2_001	15405896
41-H_unpaired_all	12297069
41-M_S34_L003_R1_001	14557305
41-M_S34_L003_R2_001	14557305
41-M_unpaired_all	14033521
41-N_S78_L003_R1_001	14363467
41-N_S78_L003_R2_001	14363467
41-N_unpaired_all	11431623
41-O_S51_L003_R1_001	16016093
41-O_S51_L003_R2_001	16016093
41-O_unpaired_all	11978765
41-P_S24_L003_R1_001	12562902
41-P_S24_L003_R2_001	12562902
41-P_unpaired_all	14046990
44-A_S42_L003_R1_001	13491152
44-A_S42_L003_R2_001	13491152
44-A_unpaired_all	12808759
44-B_S53_L003_R1_001	14342472
44-B_S53_L003_R2_001	14342472
44-B_unpaired_all	9871803
44-C_S5_L003_R1_001	17738592
44-C_S5_L003_R2_001	17738592
44-C_unpaired_all	12099780
44-D_S30_L003_R1_001	15143597
44-D_S30_L003_R2_001	15143597
44-D_unpaired_all	9843786
44-E_S111_L003_R1_001	10155749
44-E_S111_L003_R2_001	10155749
44-E_unpaired_all	9908142
44-F_S87_L003_R1_001	13425803
44-F_S87_L003_R2_001	13425803
44-F_unpaired_all	11201197
44-G_S14_L003_R1_001	16135126
44-G_S14_L003_R2_001	16135126
44-G_unpaired_all	11673784
44-H_S59_L003_R1_001	15867295
44-H_S59_L003_R2_001	15867295
44-H_unpaired_all	11523179
44-M_S26_L003_R1_001	14806488
44-M_S26_L003_R2_001	14806488
44-M_unpaired_all	12462553
44-N_S81_L003_R1_001	12505761
44-N_S81_L003_R2_001	12505761
44-N_unpaired_all	11705300
44-O_S73_L003_R1_001	12070111
44-O_S73_L003_R2_001	12070111
44-O_unpaired_all	12483430
44-P_S93_L003_R1_001	13773007
44-P_S93_L003_R2_001	13773007
44-P_unpaired_all	10622392
50-A_S38_L003_R1_001	16368109
50-A_S38_L003_R2_001	16368109
50-A_unpaired_all	11317490
50-B_S70_L003_R1_001	12919321
50-B_S70_L003_R2_001	12919321
50-B_unpaired_all	13390889
50-C_S45_L003_R1_001	16249215
50-C_S45_L003_R2_001	16249215
50-C_unpaired_all	11229173
50-D_S119_L003_R1_001	11080731
50-D_S119_L003_R2_001	11080731
50-D_unpaired_all	11338631
50-E_S10_L003_R1_001	13948154
50-E_S10_L003_R2_001	13948154
50-E_unpaired_all	14317239
50-F_S62_L003_R1_001	13519757
50-F_S62_L003_R2_001	13519757
50-F_unpaired_all	10857124
50-G_S118_L003_R1_001	15545704
50-G_S118_L003_R2_001	15545704
50-G_unpaired_all	13265264
50-H_S97_L003_R1_001	14294801
50-H_S97_L003_R2_001	14294801
50-H_unpaired_all	12959091
50-M_S21_L003_R1_001	14281348
50-M_S21_L003_R2_001	14281348
50-M_unpaired_all	11225651
50-N_S20_L003_R1_001	13337480
50-N_S20_L003_R2_001	13337480
50-N_unpaired_all	10455180
50-O_S74_L003_R1_001	13833955
50-O_S74_L003_R2_001	13833955
50-O_unpaired_all	13133989
50-P_S86_L003_R1_001	14593346
50-P_S86_L003_R2_001	14593346
50-P_unpaired_all	12871524
62-A_S108_L003_R1_001	14552534
62-A_S108_L003_R2_001	14552534
62-A_unpaired_all	11661158
62-B_S69_L003_R1_001	12316783
62-B_S69_L003_R2_001	12316783
62-B_unpaired_all	11124695
62-C_S15_L003_R1_001	17204789
62-C_S15_L003_R2_001	17204789
62-C_unpaired_all	13249716
62-D_S47_L003_R1_001	15562309
62-D_S47_L003_R2_001	15562309
62-D_unpaired_all	11119749
62-E_S58_L003_R1_001	15234105
62-E_S58_L003_R2_001	15234105
62-E_unpaired_all	12140789
62-F_S28_L003_R1_001	12959590
62-F_S28_L003_R2_001	12959590
62-F_unpaired_all	14158890
62-G_S117_L003_R1_001	11291079
62-G_S117_L003_R2_001	11291079
62-G_unpaired_all	12226177
62-H_S3_L003_R1_001	16144117
62-H_S3_L003_R2_001	16144117
62-H_unpaired_all	10878019
62-M_S64_L003_R1_001	13512463
62-M_S64_L003_R2_001	13512463
62-M_unpaired_all	11976619
62-N_S100_L003_R1_001	15231667
62-N_S100_L003_R2_001	15231667
62-N_unpaired_all	12383425
62-O_S89_L003_R1_001	13879669
62-O_S89_L003_R2_001	13879669
62-O_unpaired_all	13318824
62-P_S43_L003_R1_001	18105913
62-P_S43_L003_R2_001	18105913
62-P_unpaired_all	10143226
7-A_S23_L003_R1_001	12465806
7-A_S23_L003_R2_001	12465806
7-A_unpaired_all	14206309
7-B_S36_L003_R1_001	14199981
7-B_S36_L003_R2_001	14199981
7-B_unpaired_all	11641494
7-C_S32_L003_R1_001	10657035
7-C_S32_L003_R2_001	10657035
7-C_unpaired_all	12210031
7-E_S88_L003_R1_001	11343177
7-E_S88_L003_R2_001	11343177
