SampleId	afterTrimmo
3-G_S16_L003_R1_001.T1.fq.unpaired	12675198
3-G_S16_L003_R2_001.T1.fq.unpaired	110868
3-H_S110_L003_R1_001.T1.fq.unpaired	8042886
3-H_S110_L003_R2_001.T1.fq.unpaired	447233
3-M_S65_L003_R1_001.T1.fq.unpaired	15811313
3-M_S65_L003_R2_001.T1.fq.unpaired	135136
3-N_S46_L003_R1_001.T1.fq.unpaired	12420307
3-N_S46_L003_R2_001.T1.fq.unpaired	84873
3-O_S115_L003_R1_001.T1.fq.unpaired	10590665
3-O_S115_L003_R2_001.T1.fq.unpaired	312786
3-P_S72_L003_R1_001.T1.fq.unpaired	12077436
3-P_S72_L003_R2_001.T1.fq.unpaired	93891
41-A_S91_L003_R1_001.T1.fq.unpaired	12860929
41-A_S91_L003_R2_001.T1.fq.unpaired	119481
41-B_S101_L003_R1_001.T1.fq.unpaired	11083652
41-B_S101_L003_R2_001.T1.fq.unpaired	444026
41-C_S27_L003_R1_001.T1.fq.unpaired	11499383
41-C_S27_L003_R2_001.T1.fq.unpaired	136768
41-D_S12_L003_R1_001.T1.fq.unpaired	12233331
41-D_S12_L003_R2_001.T1.fq.unpaired	162838
41-E_S6_L003_R1_001.T1.fq.unpaired	11437444
41-E_S6_L003_R2_001.T1.fq.unpaired	95876
41-F_S60_L003_R1_001.T1.fq.unpaired	10931467
41-F_S60_L003_R2_001.T1.fq.unpaired	93978
41-G_S18_L003_R1_001.T1.fq.unpaired	12916431
41-G_S18_L003_R2_001.T1.fq.unpaired	181023
41-H_S41_L003_R1_001.T1.fq.unpaired	11906513
41-H_S41_L003_R2_001.T1.fq.unpaired	124079
41-M_S34_L003_R1_001.T1.fq.unpaired	13745598
41-M_S34_L003_R2_001.T1.fq.unpaired	233909
41-N_S78_L003_R1_001.T1.fq.unpaired	11177451
41-N_S78_L003_R2_001.T1.fq.unpaired	81332
41-O_S51_L003_R1_001.T1.fq.unpaired	11618621
41-O_S51_L003_R2_001.T1.fq.unpaired	143777
41-P_S24_L003_R1_001.T1.fq.unpaired	13807271
41-P_S24_L003_R2_001.T1.fq.unpaired	133003
44-A_S42_L003_R1_001.T1.fq.unpaired	12513126
44-A_S42_L003_R2_001.T1.fq.unpaired	121152
44-B_S53_L003_R1_001.T1.fq.unpaired	9589186
44-B_S53_L003_R2_001.T1.fq.unpaired	76019
44-C_S5_L003_R1_001.T1.fq.unpaired	11734732
44-C_S5_L003_R2_001.T1.fq.unpaired	87201
44-D_S30_L003_R1_001.T1.fq.unpaired	9503556
44-D_S30_L003_R2_001.T1.fq.unpaired	107921
44-E_S111_L003_R1_001.T1.fq.unpaired	9244792
44-E_S111_L003_R2_001.T1.fq.unpaired	180447
44-F_S87_L003_R1_001.T1.fq.unpaired	10978005
44-F_S87_L003_R2_001.T1.fq.unpaired	110902
44-G_S14_L003_R1_001.T1.fq.unpaired	11360964
44-G_S14_L003_R2_001.T1.fq.unpaired	81825
44-H_S59_L003_R1_001.T1.fq.unpaired	11225985
44-H_S59_L003_R2_001.T1.fq.unpaired	110138
44-M_S26_L003_R1_001.T1.fq.unpaired	12172100
44-M_S26_L003_R2_001.T1.fq.unpaired	211522
44-N_S81_L003_R1_001.T1.fq.unpaired	11478704
44-N_S81_L003_R2_001.T1.fq.unpaired	70984
44-O_S73_L003_R1_001.T1.fq.unpaired	12263616
44-O_S73_L003_R2_001.T1.fq.unpaired	139817
44-P_S93_L003_R1_001.T1.fq.unpaired	10100404
44-P_S93_L003_R2_001.T1.fq.unpaired	208834
50-A_S38_L003_R1_001.T1.fq.unpaired	10982952
50-A_S38_L003_R2_001.T1.fq.unpaired	130239
50-B_S70_L003_R1_001.T1.fq.unpaired	13072017
50-B_S70_L003_R2_001.T1.fq.unpaired	117661
50-C_S45_L003_R1_001.T1.fq.unpaired	10922786
50-C_S45_L003_R2_001.T1.fq.unpaired	81279
50-D_S119_L003_R1_001.T1.fq.unpaired	10735437
50-D_S119_L003_R2_001.T1.fq.unpaired	172615
50-E_S10_L003_R1_001.T1.fq.unpaired	14003899
50-E_S10_L003_R2_001.T1.fq.unpaired	166117
50-F_S62_L003_R1_001.T1.fq.unpaired	10568356
50-F_S62_L003_R2_001.T1.fq.unpaired	212033
50-G_S118_L003_R1_001.T1.fq.unpaired	12241139
50-G_S118_L003_R2_001.T1.fq.unpaired	322324
50-H_S97_L003_R1_001.T1.fq.unpaired	11394815
50-H_S97_L003_R2_001.T1.fq.unpaired	481368
50-M_S21_L003_R1_001.T1.fq.unpaired	10971147
50-M_S21_L003_R2_001.T1.fq.unpaired	92858
50-N_S20_L003_R1_001.T1.fq.unpaired	10153277
50-N_S20_L003_R2_001.T1.fq.unpaired	87288
50-O_S74_L003_R1_001.T1.fq.unpaired	12851487
50-O_S74_L003_R2_001.T1.fq.unpaired	89921
50-P_S86_L003_R1_001.T1.fq.unpaired	12566335
50-P_S86_L003_R2_001.T1.fq.unpaired	296283
62-A_S108_L003_R1_001.T1.fq.unpaired	10842547
62-A_S108_L003_R2_001.T1.fq.unpaired	294208
62-B_S69_L003_R1_001.T1.fq.unpaired	10895365
62-B_S69_L003_R2_001.T1.fq.unpaired	64052
62-C_S15_L003_R1_001.T1.fq.unpaired	12900053
62-C_S15_L003_R2_001.T1.fq.unpaired	147900
62-D_S47_L003_R1_001.T1.fq.unpaired	10832128
62-D_S47_L003_R2_001.T1.fq.unpaired	112076
62-E_S58_L003_R1_001.T1.fq.unpaired	11864110
62-E_S58_L003_R2_001.T1.fq.unpaired	113131
62-F_S28_L003_R1_001.T1.fq.unpaired	13892679
62-F_S28_L003_R2_001.T1.fq.unpaired	331645
62-G_S117_L003_R1_001.T1.fq.unpaired	10739500
62-G_S117_L003_R2_001.T1.fq.unpaired	682047
62-H_S3_L003_R1_001.T1.fq.unpaired	10565530
62-H_S3_L003_R2_001.T1.fq.unpaired	82176
62-M_S64_L003_R1_001.T1.fq.unpaired	11696401
62-M_S64_L003_R2_001.T1.fq.unpaired	112070
62-N_S100_L003_R1_001.T1.fq.unpaired	11442760
62-N_S100_L003_R2_001.T1.fq.unpaired	274593
62-O_S89_L003_R1_001.T1.fq.unpaired	13059834
62-O_S89_L003_R2_001.T1.fq.unpaired	93751
62-P_S43_L003_R1_001.T1.fq.unpaired	9800714
62-P_S43_L003_R2_001.T1.fq.unpaired	95746
7-A_S23_L003_R1_001.T1.fq.unpaired	13950274
7-A_S23_L003_R2_001.T1.fq.unpaired	182023
7-B_S36_L003_R1_001.T1.fq.unpaired	11404521
7-B_S36_L003_R2_001.T1.fq.unpaired	131995
7-C_S32_L003_R1_001.T1.fq.unpaired	11815867
7-C_S32_L003_R2_001.T1.fq.unpaired	319343
7-E_S88_L003_R1_001.T1.fq.unpaired	15165465
7-E_S88_L003_R2_001.T1.fq.unpaired	152013
7-F_S98_L003_R1_001.T1.fq.unpaired	9624988
7-F_S98_L003_R2_001.T1.fq.unpaired	321985
7-G_S48_L003_R1_001.T1.fq.unpaired	12784294
7-G_S48_L003_R2_001.T1.fq.unpaired	115150
7-H_S82_L003_R1_001.T1.fq.unpaired	13952287
7-H_S82_L003_R2_001.T1.fq.unpaired	107961
7-M_S76_L003_R1_001.T1.fq.unpaired	11285712
7-M_S76_L003_R2_001.T1.fq.unpaired	91466
7-N_S11_L003_R1_001.T1.fq.unpaired	12572610
7-N_S11_L003_R2_001.T1.fq.unpaired	105291
7-O_S63_L003_R1_001.T1.fq.unpaired	12842402
7-O_S63_L003_R2_001.T1.fq.unpaired	130616
7-P_S103_L003_R1_001.T1.fq.unpaired	13604374
7-P_S103_L003_R2_001.T1.fq.unpaired	313624
13-A_S112_L003_R1_001	12513209
13-A_S112_L003_R2_001	12513209
13-B_S67_L003_R1_001	14534789
13-B_S67_L003_R2_001	14534789
13-C_S61_L003_R1_001	15576352
13-C_S61_L003_R2_001	15576352
13-D_S8_L003_R1_001	15836557
13-D_S8_L003_R2_001	15836557
13-E_S77_L003_R1_001	14679057
13-E_S77_L003_R2_001	14679057
13-F_S104_L003_R1_001	15836354
13-F_S104_L003_R2_001	15836354
13-G_S50_L003_R1_001	14712723
13-G_S50_L003_R2_001	14712723
13-H_S19_L003_R1_001	15326035
13-H_S19_L003_R2_001	15326035
13-M_S109_L003_R1_001	12841431
13-M_S109_L003_R2_001	12841431
13-N_S83_L003_R1_001	13927950
13-N_S83_L003_R2_001	13927950
13-O_S33_L003_R1_001	16696668
13-O_S33_L003_R2_001	16696668
13-P_S99_L003_R1_001	16842086
13-P_S99_L003_R2_001	16842086
1-A_S44_L003_R1_001	16832615
1-A_S44_L003_R2_001	16832615
1-B_S102_L003_R1_001	16245730
1-B_S102_L003_R2_001	16245730
1-C_S105_L003_R1_001	10985065
1-C_S105_L003_R2_001	10985065
1-D_S79_L003_R1_001	15210499
1-D_S79_L003_R2_001	15210499
1-E_S13_L003_R1_001	14627190
1-E_S13_L003_R2_001	14627190
1-F_S116_L003_R1_001	13811926
1-F_S116_L003_R2_001	13811926
1-G_S29_L003_R1_001	14806623
1-G_S29_L003_R2_001	14806623
1-H_S84_L003_R1_001	14569799
1-H_S84_L003_R2_001	14569799
1-M_S68_L003_R1_001	12031508
1-M_S68_L003_R2_001	12031508
1-N_S95_L003_R1_001	15322194
1-N_S95_L003_R2_001	15322194
1-O_S54_L003_R1_001	17059793
1-O_S54_L003_R2_001	17059793
1-P_S114_L003_R1_001	16973960
1-P_S114_L003_R2_001	16973960
31-A_S71_L003_R1_001	14779624
31-A_S71_L003_R2_001	14779624
31-B_S35_L003_R1_001	16699311
31-B_S35_L003_R2_001	16699311
31-C_S80_L003_R1_001	11129112
31-C_S80_L003_R2_001	11129112
31-D_S113_L003_R1_001	16427896
31-D_S113_L003_R2_001	16427896
31-E_S17_L003_R1_001	11279678
31-E_S17_L003_R2_001	11279678
31-F_S49_L003_R1_001	15345784
31-F_S49_L003_R2_001	15345784
31-G_S106_L003_R1_001	15693136
31-G_S106_L003_R2_001	15693136
31-H_S96_L003_R1_001	11497518
31-H_S96_L003_R2_001	11497518
31-M_S92_L003_R1_001	12519808
31-M_S92_L003_R2_001	12519808
31-N_S2_L003_R1_001	15170985
31-N_S2_L003_R2_001	15170985
31-O_S66_L003_R1_001	12760266
31-O_S66_L003_R2_001	12760266
31-P_S56_L003_R1_001	11313058
31-P_S56_L003_R2_001	11313058
36-A_S1_L003_R1_001	14279182
36-A_S1_L003_R2_001	14279182
36-B_S55_L003_R1_001	16700654
36-B_S55_L003_R2_001	16700654
36-C_S57_L003_R1_001	12664393
36-C_S57_L003_R2_001	12664393
36-D_S94_L003_R1_001	13841777
