SampleId	afterTrimGal
31-B_S35_L003_R1_001.T1_unpaired_1	148919
31-B_S35_L003_R2_001.T1.fq.unpaired_trimmed	56430
31-B_S35_L003_R2_001.T1_unpaired_2	230819
31-C_S80_L003_R1_001.T1.fq.unpaired_trimmed	12327326
31-C_S80_L003_R1_001.T1_unpaired_1	153146
31-C_S80_L003_R2_001.T1.fq.unpaired_trimmed	50831
31-C_S80_L003_R2_001.T1_unpaired_2	203093
31-D_S113_L003_R1_001.T1.fq.unpaired_trimmed	10112351
31-D_S113_L003_R1_001.T1_unpaired_1	284321
31-D_S113_L003_R2_001.T1.fq.unpaired_trimmed	126905
31-D_S113_L003_R2_001.T1_unpaired_2	805451
31-E_S17_L003_R1_001.T1.fq.unpaired_trimmed	9895020
31-E_S17_L003_R1_001.T1_unpaired_1	148903
31-E_S17_L003_R2_001.T1.fq.unpaired_trimmed	54205
31-E_S17_L003_R2_001.T1_unpaired_2	247572
31-F_S49_L003_R1_001.T1.fq.unpaired_trimmed	10897172
31-F_S49_L003_R1_001.T1_unpaired_1	142656
31-F_S49_L003_R2_001.T1.fq.unpaired_trimmed	54633
31-F_S49_L003_R2_001.T1_unpaired_2	227114
31-G_S106_L003_R1_001.T1.fq.unpaired_trimmed	6109768
31-G_S106_L003_R1_001.T1_unpaired_1	612608
31-G_S106_L003_R2_001.T1.fq.unpaired_trimmed	298195
31-G_S106_L003_R2_001.T1_unpaired_2	2062423
31-H_S96_L003_R1_001.T1.fq.unpaired_trimmed	8281731
31-H_S96_L003_R1_001.T1_unpaired_1	169703
31-H_S96_L003_R2_001.T1.fq.unpaired_trimmed	64898
31-H_S96_L003_R2_001.T1_unpaired_2	306203
31-M_S92_L003_R1_001.T1.fq.unpaired_trimmed	13235274
31-M_S92_L003_R1_001.T1_unpaired_1	154594
31-M_S92_L003_R2_001.T1.fq.unpaired_trimmed	62472
31-M_S92_L003_R2_001.T1_unpaired_2	258861
31-N_S2_L003_R1_001.T1.fq.unpaired_trimmed	10994915
31-N_S2_L003_R1_001.T1_unpaired_1	184368
31-N_S2_L003_R2_001.T1.fq.unpaired_trimmed	54812
31-N_S2_L003_R2_001.T1_unpaired_2	250350
31-O_S66_L003_R1_001.T1.fq.unpaired_trimmed	12614433
31-O_S66_L003_R1_001.T1_unpaired_1	186252
31-O_S66_L003_R2_001.T1.fq.unpaired_trimmed	58794
31-O_S66_L003_R2_001.T1_unpaired_2	256473
31-P_S56_L003_R1_001.T1.fq.unpaired_trimmed	11735302
31-P_S56_L003_R1_001.T1_unpaired_1	130791
31-P_S56_L003_R2_001.T1.fq.unpaired_trimmed	37496
31-P_S56_L003_R2_001.T1_unpaired_2	150000
36-A_S1_L003_R1_001.T1.fq.unpaired_trimmed	11573819
36-A_S1_L003_R1_001.T1_unpaired_1	165820
36-A_S1_L003_R2_001.T1.fq.unpaired_trimmed	65970
36-A_S1_L003_R2_001.T1_unpaired_2	278310
36-B_S55_L003_R1_001.T1.fq.unpaired_trimmed	12853784
36-B_S55_L003_R1_001.T1_unpaired_1	170415
36-B_S55_L003_R2_001.T1.fq.unpaired_trimmed	52515
36-B_S55_L003_R2_001.T1_unpaired_2	239072
36-C_S57_L003_R1_001.T1.fq.unpaired_trimmed	10555185
36-C_S57_L003_R1_001.T1_unpaired_1	147938
36-C_S57_L003_R2_001.T1.fq.unpaired_trimmed	42434
36-C_S57_L003_R2_001.T1_unpaired_2	192488
36-D_S94_L003_R1_001.T1.fq.unpaired_trimmed	9829133
36-D_S94_L003_R1_001.T1_unpaired_1	281924
36-D_S94_L003_R2_001.T1.fq.unpaired_trimmed	83074
36-D_S94_L003_R2_001.T1_unpaired_2	367792
36-E_S107_L003_R1_001.T1.fq.unpaired_trimmed	9804619
36-E_S107_L003_R1_001.T1_unpaired_1	308647
36-E_S107_L003_R2_001.T1.fq.unpaired_trimmed	217028
36-E_S107_L003_R2_001.T1_unpaired_2	1401011
36-F_S31_L003_R1_001.T1.fq.unpaired_trimmed	10684178
36-F_S31_L003_R1_001.T1_unpaired_1	147140
36-F_S31_L003_R2_001.T1.fq.unpaired_trimmed	54331
36-F_S31_L003_R2_001.T1_unpaired_2	215258
36-G_S7_L003_R1_001.T1.fq.unpaired_trimmed	10858535
36-G_S7_L003_R1_001.T1_unpaired_1	178845
36-G_S7_L003_R2_001.T1.fq.unpaired_trimmed	54478
36-G_S7_L003_R2_001.T1_unpaired_2	258842
36-H_S52_L003_R1_001.T1.fq.unpaired_trimmed	9943115
36-H_S52_L003_R1_001.T1_unpaired_1	168797
36-H_S52_L003_R2_001.T1.fq.unpaired_trimmed	58608
36-H_S52_L003_R2_001.T1_unpaired_2	276361
36-M_S37_L003_R1_001.T1.fq.unpaired_trimmed	13675717
36-M_S37_L003_R1_001.T1_unpaired_1	155760
36-M_S37_L003_R2_001.T1.fq.unpaired_trimmed	55553
36-M_S37_L003_R2_001.T1_unpaired_2	235380
36-N_S40_L003_R1_001.T1.fq.unpaired_trimmed	11761160
