SampleId	afterTrimGal
7-E_S88_L003_R1_001.T1_unpaired_1	156303
7-E_S88_L003_R2_001.T1.fq.unpaired_trimmed	55222
7-E_S88_L003_R2_001.T1_unpaired_2	226124
7-F_S98_L003_R1_001.T1.fq.unpaired_trimmed	9256408
7-F_S98_L003_R1_001.T1_unpaired_1	288998
7-F_S98_L003_R2_001.T1.fq.unpaired_trimmed	163173
7-F_S98_L003_R2_001.T1_unpaired_2	1079453
7-G_S48_L003_R1_001.T1.fq.unpaired_trimmed	12646337
7-G_S48_L003_R1_001.T1_unpaired_1	149121
7-G_S48_L003_R2_001.T1.fq.unpaired_trimmed	48241
7-G_S48_L003_R2_001.T1_unpaired_2	193679
7-H_S82_L003_R1_001.T1.fq.unpaired_trimmed	13759105
7-H_S82_L003_R1_001.T1_unpaired_1	175280
7-H_S82_L003_R2_001.T1.fq.unpaired_trimmed	59920
7-H_S82_L003_R2_001.T1_unpaired_2	278830
7-M_S76_L003_R1_001.T1.fq.unpaired_trimmed	11160661
7-M_S76_L003_R1_001.T1_unpaired_1	153641
7-M_S76_L003_R2_001.T1.fq.unpaired_trimmed	51678
7-M_S76_L003_R2_001.T1_unpaired_2	216222
7-N_S11_L003_R1_001.T1.fq.unpaired_trimmed	12419019
7-N_S11_L003_R1_001.T1_unpaired_1	145005
7-N_S11_L003_R2_001.T1.fq.unpaired_trimmed	54914
7-N_S11_L003_R2_001.T1_unpaired_2	235015
7-O_S63_L003_R1_001.T1.fq.unpaired_trimmed	12731954
7-O_S63_L003_R1_001.T1_unpaired_1	165281
7-O_S63_L003_R2_001.T1.fq.unpaired_trimmed	47835
7-O_S63_L003_R2_001.T1_unpaired_2	166523
7-P_S103_L003_R1_001.T1.fq.unpaired_trimmed	13212098
7-P_S103_L003_R1_001.T1_unpaired_1	257238
7-P_S103_L003_R2_001.T1.fq.unpaired_trimmed	178937
7-P_S103_L003_R2_001.T1_unpaired_2	1085923
